MFonMB_X,MFonMB_X_dummy,Choice,Subj
-1.0942,-1,1,1
-1.0942,-1,1,2
-0.094241,0,0,2
-1.0942,-1,1,3
-0.094241,0,0,3
0.90576,1,0,3
0.90576,1,1,4
-1.0942,-1,1,5
0.90576,1,1,5
-1.0942,-1,0,7
0.90576,1,0,7
-0.094241,0,1,8
0.90576,1,0,8
-0.094241,0,0,9
-1.0942,-1,1,10
-0.094241,0,0,10
0.90576,1,1,10
0.90576,1,0,11
-0.094241,0,0,11
3.9058,1,1,11
-1.0942,-1,1,12
-1.0942,-1,1,14
0.90576,1,0,14
-1.0942,-1,1,15
-0.094241,0,0,15
0.90576,1,0,15
-0.094241,0,0,16
0.90576,1,0,16
-0.094241,0,1,17
-1.0942,-1,0,18
0.90576,1,0,18
-0.094241,0,0,21
0.90576,1,1,21
-0.094241,0,1,23
-0.094241,0,1,24
0.90576,1,1,24
-1.0942,-1,1,26
0.90576,1,1,26
-1.0942,-1,1,27
-0.094241,0,1,27
-1.0942,-1,0,28
0.90576,1,0,28
-0.094241,0,1,29
0.90576,1,1,29
-1.0942,-1,1,30
-0.094241,0,0,31
-1.0942,-1,1,32
-0.094241,0,0,32
-1.0942,-1,1,33
-0.094241,0,1,33
0.90576,1,0,33
-0.094241,0,1,34
0.90576,1,0,34
-1.0942,-1,1,35
0.90576,1,0,35
-1.0942,-1,0,36
-2.0942,-1,1,36
-0.094241,0,0,36
0.90576,1,1,36
-0.094241,0,0,38
0.90576,1,0,38
-1.0942,-1,0,39
-0.094241,0,1,39
0.90576,1,0,39
-0.094241,0,0,40
0.90576,1,0,40
-1.0942,-1,1,41
-0.094241,0,0,41
0.90576,1,0,41
-0.094241,0,1,42
-1.0942,-1,0,43
-0.094241,0,1,43
0.90576,1,0,43
-0.094241,0,0,44
0.90576,1,0,44
-0.094241,0,1,46
0.90576,1,0,46
-1.0942,-1,1,47
-0.094241,0,0,47
-0.094241,0,0,48
0.90576,1,0,48
-1.0942,-1,1,49
0.90576,1,1,49
-0.094241,0,0,50
0.90576,1,0,50
-1.0942,-1,0,51
0.90576,1,0,51
-1.0942,-1,0,52
0.90576,1,0,52
-1.0942,-1,0,53
0.90576,1,0,53
-0.094241,0,0,54
0.90576,1,0,54
-0.094241,0,0,55
-1.0942,-1,1,56
-0.094241,0,0,56
0.90576,1,0,56
-1.0942,-1,0,58
-0.094241,0,0,58
0.90576,1,0,58
-1.0942,-1,1,59
-0.094241,0,1,59
0.90576,1,0,59
0.90576,1,0,61
-0.094241,0,1,62
0.90576,1,0,62
-0.094241,0,1,63
0.90576,1,0,63
-1.0942,-1,1,64
-0.094241,0,0,64
-1.0942,-1,0,65
0.90576,1,1,65
-0.094241,0,0,66
0.90576,1,0,66
-1.0942,-1,0,67
-0.094241,0,0,67
-0.094241,0,0,67
0.90576,1,1,67
3.9058,1,0,67
-1.0942,-1,1,68
-0.094241,0,0,68
0.90576,1,1,68
0.90576,1,0,69
-1.0942,-1,1,70
-0.094241,0,0,70
-1.0942,-1,0,72
-0.094241,0,0,72
-1.0942,-1,0,73
-0.094241,0,0,73
-1.0942,-1,0,74
-0.094241,0,0,74
0.90576,1,0,74
0.90576,1,0,76
-0.094241,0,1,77
-1.0942,-1,0,78
0.90576,1,0,78
-1.0942,-1,1,79
0.90576,1,0,79
-0.094241,0,0,80
0.90576,1,0,80
-1.0942,-1,1,81
0.90576,1,0,81
-1.0942,-1,1,82
0.90576,1,1,82
0.90576,1,0,83
-1.0942,-1,1,84
0.90576,1,1,84
-0.094241,0,0,85
0.90576,1,0,85
-1.0942,-1,1,87
-0.094241,0,0,87
0.90576,1,0,87
-1.0942,-1,0,88
-0.094241,0,0,88
-1.0942,-1,1,89
-0.094241,0,1,89
-0.094241,0,1,89
0.90576,1,0,89
-1.0942,-1,0,90
-1.0942,-1,0,90
-0.094241,0,0,91
0.90576,1,0,91
-1.0942,-1,1,92
-0.094241,0,1,92
0.90576,1,1,92
-1.0942,-1,0,93
-0.094241,0,0,93
0.90576,1,0,93
-0.094241,0,1,94
-1.0942,-1,1,95
-1.0942,-1,1,96
-0.094241,0,1,96
-0.094241,0,0,97
0.90576,1,0,99
-1.0942,-1,1,100
-0.094241,0,1,100
0.90576,1,0,100
-1.0942,-1,0,101
-0.094241,0,0,101
0.90576,1,0,101
-0.094241,0,0,102
0.90576,1,0,102
0.90576,1,0,103
-1.0942,-1,0,104
-0.094241,0,0,104
0.90576,1,0,104
-1.0942,-1,1,105
-0.094241,0,0,105
0.90576,1,1,105
0.90576,1,1,106
-1.0942,-1,0,107
