MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
6.9811,3.7585,2.7638,4.749,-0.048794,-0.042193,7.0276,3.993,2,0
-4.0189,2.7585,3.7638,2.749,2.9512,2.9578,-3.9724,2.993,2,0
-4.0189,-0.24153,3.7638,-0.251,-4.0488,-0.042193,-2.9724,-0.0070321,2,1
3.9811,3.7585,3.7638,2.749,3.9512,6.9578,4.0276,3.993,2,1
-4.0189,-3.2415,-3.2362,4.749,-3.0488,4.9578,-2.9724,2.993,2,1
-4.0189,2.7585,-3.2362,2.749,-3.0488,2.9578,-2.9724,2.993,2,1
-4.0189,-4.2415,3.7638,-3.251,-4.0488,-3.0422,-2.9724,-3.007,2,1
3.9811,2.7585,3.7638,3.749,3.9512,6.9578,4.0276,6.993,2,0
-2.0189,-3.2415,-2.2362,-3.251,-2.0488,-3.0422,-1.9724,-3.007,2,1
4.9811,2.7585,-2.2362,3.749,-0.048794,6.9578,5.0276,6.993,2,1
1.9811,4.7585,-2.2362,-2.251,3.9512,-0.042193,2.0276,4.993,2,1
1.9811,5.7585,1.7638,5.749,1.9512,5.9578,2.0276,5.993,2,1
1.9811,4.7585,-2.2362,3.749,3.9512,3.9578,2.0276,3.993,2,1
4.9811,1.7585,4.7638,1.749,4.9512,1.9578,5.0276,1.993,2,0
-2.0189,-2.2415,-2.2362,4.749,-2.0488,-2.0422,-1.9724,-2.007,2,1
-1.0189,3.7585,-1.2362,4.749,-1.0488,3.9578,-0.97245,3.993,2,1
-1.0189,-1.2415,5.7638,-1.251,-4.0488,-1.0422,-1.9724,-1.007,2,0
-0.018944,3.7585,-0.23622,-1.251,-0.048794,-1.0422,0.027555,-1.007,2,1
-0.018944,-0.24153,-0.23622,-0.251,-0.048794,-0.042193,0.027555,-0.0070321,2,0
-2.0189,-1.2415,-2.2362,1.749,-2.0488,2.9578,-1.9724,-1.007,2,1
-2.0189,-2.2415,-2.2362,-2.251,-2.0488,-2.0422,-1.9724,-2.007,2,1
5.9811,5.7585,-2.2362,-1.251,5.9512,4.9578,6.0276,5.993,2,1
-3.0189,-0.24153,-3.2362,-0.251,-3.0488,-0.042193,-2.9724,-0.0070321,2,1
1.9811,5.7585,-2.2362,-3.251,1.9512,4.9578,2.0276,4.993,2,1
1.9811,5.7585,-2.2362,6.749,1.9512,6.9578,2.0276,6.993,2,1
6.9811,1.7585,-2.2362,-2.251,5.9512,1.9578,6.0276,1.993,2,0
-3.0189,-3.2415,6.7638,5.749,-2.0488,-3.0422,-2.9724,-3.007,2,1
-3.0189,-3.2415,6.7638,-3.251,-2.0488,-3.0422,-2.9724,-3.007,2,0
6.9811,1.7585,1.7638,-2.251,6.9512,1.9578,7.0276,1.993,2,1
-4.0189,5.7585,-4.2362,-4.251,-4.0488,5.9578,-3.9724,5.993,2,1
6.9811,-4.2415,1.7638,-3.251,6.9512,3.9578,7.0276,-4.007,2,0
-3.0189,-4.2415,4.7638,7.749,1.9512,-4.0422,2.0276,-4.007,2,0
-4.0189,4.7585,-3.2362,5.749,3.9512,5.9578,-3.9724,4.993,2,1
4.9811,-4.2415,-4.2362,-4.251,4.9512,-4.0422,5.0276,-4.007,2,0
-4.0189,7.7585,-4.2362,7.749,-4.0488,7.9578,-3.9724,7.993,2,1
1.9811,1.7585,4.7638,-4.251,-1.0488,-2.0422,-1.9724,-2.007,2,0
-4.0189,-4.2415,-3.2362,-4.251,3.9512,-4.0422,-3.9724,-4.007,2,0
