MB_X,MB_Y,MF_X,MF_Y,MFonMB,Crits,Crits_incog,Choice,Subj
-0.11933,-0.12661,-0.12091,-0.15299,0.010278,0,0,1,1
-0.11933,2.8734,-0.12091,2.847,0.010278,0,0,0,1
-1.1193,2.8734,-1.1209,2.847,0.010278,0,0,1,1
-0.11933,-0.12661,-0.12091,-1.153,0.010278,0,0,0,1
1.8807,-0.12661,1.8791,-1.153,0.010278,0,0,0,1
2.8807,-1.1266,0.87909,-1.153,0.010278,0,0,0,1
2.8807,-1.1266,2.8791,-1.153,0.010278,0,0,0,1
-1.1193,-0.12661,-0.12091,-0.15299,0.010278,0,0,1,1
0.88067,-0.12661,-3.1209,2.847,-2.9897,0,1,0,1
-1.1193,-0.12661,-0.12091,-3.153,0.010278,0,0,0,1
-2.1193,-0.12661,-1.1209,2.847,0.010278,0,0,1,1
-0.11933,-2.1266,-3.1209,-1.153,1.0103,1,0,0,1
-3.1193,-0.12661,-2.1209,-1.153,5.0103,0,1,1,1
-3.1193,3.8734,4.8791,-1.153,0.010278,0,0,1,1
-2.1193,-0.12661,-2.1209,4.847,0.010278,0,0,1,1
-2.1193,-2.1266,4.8791,3.847,0.010278,0,0,1,1
-2.1193,-2.1266,-2.1209,-2.153,5.0103,1,0,1,1
-3.1193,4.8734,-2.1209,4.847,0.010278,0,0,1,1
-2.1193,-2.1266,2.8791,4.847,0.010278,0,0,1,1
-2.1193,-1.1266,-2.1209,4.847,0.010278,0,0,1,1
-1.1193,-2.1266,-1.1209,2.847,0.010278,0,0,0,1
-2.1193,-3.1266,-2.1209,-1.153,0.010278,0,0,0,1
-2.1193,-3.1266,-2.1209,-3.153,0.010278,0,0,1,1
-2.1193,0.87339,-2.1209,0.84701,0.010278,0,0,0,1
-3.1193,2.8734,0.87909,-1.153,0.010278,0,0,1,1
-3.1193,4.8734,0.87909,4.847,0.010278,0,0,1,1
-3.1193,0.87339,-0.12091,2.847,0.010278,0,0,1,1
-3.1193,0.87339,-0.12091,0.84701,-1.9897,1,0,1,1
0.88067,-0.12661,0.87909,-2.153,0.010278,0,0,0,1
-0.11933,2.8734,-0.12091,2.847,0.010278,0,0,1,1
