MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
-0.78952,-0.81905,0.0041348,0.00059069,-2,1,1
-3.506,-2.1267,0.0041348,0.00059069,-2,0,1
2.0985,-0.52667,0.0041348,0.00059069,-2,1,1
-2.6471,-1.6767,0.0041348,0.00059069,-2,0,1
-2.3921,-1.4399,0.0041348,0.00059069,-2,0,1
-1.0695,1.9741,0.0041348,0.00059069,-2,1,1
-3.57,-2.9327,0.0041348,0.00059069,-2,1,1
1.6628,-0.089261,0.0041348,0.00059069,-2,1,1
-0.52466,3.7776,0.0041348,0.00059069,-2,0,1
3.244,-1.4267,0.0041348,0.00059069,-2,1,1
-2.4921,2.9796,0.0041348,0.00059069,-2,0,1
-2.4104,-1.8252,0.0041348,0.00059069,-2,0,1
-2.8474,3.3233,0.0041348,0.00059069,-2,0,1
-1.7268,-4.334,0.0041348,0.00059069,-2,0,1
3.3373,1.2485,0.0041348,0.00059069,-2,1,1
-3.8321,-1.5628,0.0041348,0.00059069,-2,0,1
-3.5527,-3.4426,0.0041348,0.00059069,-2,0,1
-4.394,-4.2827,0.0041348,0.00059069,-2,0,1
-3.727,1.2048,4.0041,0.00059069,1,1,1
0.98223,3.3829,0.0041348,0.00059069,-2,0,1
-2.5109,-1.614,0.0041348,0.00059069,-2,0,1
-5.0383,-5.0059,0.0041348,0.00059069,-2,0,1
1.0644,0.47983,0.0041348,0.00059069,-2,0,1
-1.713,5.2516,0.0041348,0.00059069,-2,0,1
0.78366,1.0054,0.0041348,0.00059069,-2,0,1
-0.43855,-0.46807,0.0041348,0.00059069,-2,0,1
-0.66484,-0.74394,0.0041348,0.00059069,-2,0,1
1.1428,-0.58671,0.0041348,0.00059069,-2,0,1
0.54562,-0.91251,0.0041348,0.00059069,-2,0,1
1.028,-2.5267,0.0041348,0.00059069,-2,0,1
-1.4453,-0.82667,4.0041,0.00059069,0,1,1
-0.65169,-0.97667,0.0041348,0.00059069,-2,1,1
3.0376,3.0184,0.0041348,0.00059069,-2,0,1
-2.0008,0.01917,0.0041348,0.00059069,-2,0,1
-5.5613,-2.0682,0.0041348,0.00059069,-2,0,1
0.043482,0.020324,0.0041348,0.00059069,-2,0,1
-0.95511,-0.97923,0.0041348,0.00059069,-2,0,1
-0.3243,-3.0495,0.0041348,0.00059069,-2,1,1
-2.9471,-2.9767,0.0041348,0.00059069,-2,0,1
0.77046,4.2419,0.0041348,0.00059069,-2,0,1
-0.9513,-1.53,0.0041348,0.00059069,-2,1,1
-2.7971,-1.4547,0.0041348,0.00059069,-2,0,1
-3.6471,-3.6767,0.0041348,0.00059069,-2,0,1
-3.0921,0.56729,-4.9959,0.00059069,1,0,1
-1.0786,6.2733,0.0041348,0.00059069,-2,1,1
-0.94715,-1.8134,0.0041348,0.00059069,-2,0,1
0.20285,0.58092,0.0041348,0.00059069,-2,0,1
0.33035,0.11903,0.0041348,0.00059069,-2,0,1
0.43873,0.2592,0.0041348,0.00059069,-2,0,1
0.38085,0.32835,4.0041,0.00059069,1,0,1
0.34392,2.9601,0.0041348,0.00059069,-2,0,1
-0.5534,0.49618,0.0041348,0.00059069,-2,1,1
0.71817,0.53864,0.0041348,0.00059069,-2,0,1
0.39449,-0.21255,0.0041348,0.00059069,-2,1,1
-0.42514,1.4815,0.0041348,0.00059069,-2,1,1
-1.1866,-0.38297,0.0041348,0.00059069,-2,1,1
1.1064,0.87443,-4.9959,0.00059069,1,0,1
-1.0716,1.5783,0.0041348,0.00059069,-2,0,1
-1.1754,3.9083,0.0041348,0.00059069,-2,1,1
0.052854,0.023329,0.0041348,0.00059069,-2,0,1
-1.9471,-2.8641,0.0041348,0.00059069,-2,0,1
1.5414,-4.731,0.0041348,0.00059069,-2,0,1
-1.3921,-0.47558,0.0041348,0.00059069,-2,0,1
2.5468,2.0283,-2.9959,0.00059069,0,0,1
-0.99116,-2.9899,0.0041348,0.00059069,-2,1,1
-3.8346,-5.1442,0.0041348,0.00059069,-2,1,1
-1.3578,-1.819,0.0041348,0.00059069,-2,0,1
1.2519,-0.82667,5.0041,0.00059069,1,0,1
1.072,5.3173,-3.9959,0.00059069,1,0,1
4.0317,7.6358,0.0041348,0.00059069,-2,1,1
3.4529,3.4233,0.0041348,0.00059069,-2,0,1
-0.72554,-1.4204,0.0041348,0.00059069,-2,0,1
0.90285,2.1114,2.0041,0.00059069,0,1,1
3.0529,3.0233,0.0041348,0.00059069,-2,1,1
-0.42518,4.4683,0.0041348,0.00059069,-2,1,1
-1.1219,-0.97667,0.0041348,0.00059069,-2,0,1
-3.7971,-3.1735,0.0041348,0.00059069,-2,0,1
-4.6696,-4.144,0.0041348,0.00059069,-2,1,1
-1.5132,-3.3625,0.0041348,0.00059069,-2,0,1
-3.3592,5.6645,0.0041348,0.00059069,-2,1,1
0.59635,3.5683,0.0041348,0.00059069,-2,1,1
1.9648,-4.5212,0.0041348,0.00059069,-2,0,1
-3.0178,-5.4647,0.0041348,0.00059069,-2,0,1
-3.9471,2.908,0.0041348,0.00059069,-2,0,1
-2.9471,-4.8853,0.0041348,0.00059069,-2,0,1
-2.4971,-3.809,-4.9959,0.00059069,1,0,1
4.0529,2.7073,0.0041348,0.00059069,-2,1,1
0.23034,-4.3031,0.0041348,0.00059069,-2,0,1
-1.6648,2.2919,0.0041348,0.00059069,-2,1,1
-2.8371,-3.646,0.0041348,0.00059069,-2,0,1
0.43535,1.8558,0.0041348,0.00059069,-2,1,1
2.2105,-1.1551,0.0041348,0.00059069,-2,0,1
-1.722,-3.7877,0.0041348,0.00059069,-2,0,1
3.0529,1.3233,0.0041348,0.00059069,-2,0,1
-2.4971,-1.4051,5.0041,0.00059069,1,0,1
-3.9471,-2.3966,0.0041348,0.00059069,-2,0,1
0.78366,-3.8038,0.0041348,0.00059069,-2,0,1
-0.43855,-3.0491,0.0041348,0.00059069,-2,0,1
-2.8371,1.7233,0.0041348,0.00059069,-2,0,1
-4.9471,-2.565,0.0041348,0.00059069,-2,0,1
-1.9471,-2.9984,0.0041348,0.00059069,-2,0,1
0.84035,0.67932,5.0041,0.00059069,0,0,1
-0.27777,-4.3076,0.0041348,0.00059069,-2,0,1
-1.1754,-1.1267,0.0041348,0.00059069,-2,0,1
-1.1635,0.34484,0.0041348,0.00059069,-2,0,1
0.052854,-3.0893,0.0041348,0.00059069,-2,0,1
-0.94715,-0.018918,0.0041348,0.00059069,-2,0,1
-2.5401,-4.3355,0.0041348,0.00059069,-2,0,1
-4.6947,1.2908,0.0041348,0.00059069,-2,1,1
-7.1971,0.61151,0.0041348,0.00059069,-2,0,1
-6.4971,-6.1392,0.0041348,0.00059069,-2,0,1
-6.1146,-3.9954,0.0041348,0.00059069,-2,0,1
-5.1895,-4.709,-4.9959,0.00059069,1,0,1
-5.5132,-5.7927,0.0041348,0.00059069,-2,0,1
0.32534,-4.7078,0.0041348,0.00059069,-2,0,1
-4.4786,-3.3865,0.0041348,0.00059069,-2,0,1
-3.9089,3.415,0.0041348,0.00059069,-2,0,1
-4.7646,-4.7941,0.0041348,0.00059069,-2,1,1
2.5094,-1.3767,0.0041348,0.00059069,-2,1,1
-1.0352,1.071,0.0041348,0.00059069,-2,0,1
-0.87197,0.86899,-4.9959,0.00059069,1,0,1
-0.80692,-2.0647,0.0041348,0.00059069,-2,1,1
-1.2295,-3.5923,0.0041348,0.00059069,-2,0,1
-0.60574,2.8733,0.0041348,0.00059069,-2,0,1
0.82639,5.3056,0.0041348,0.00059069,-2,0,1
2.2654,4.1133,0.0041348,0.00059069,-2,0,1
-0.35161,-0.90478,0.0041348,0.00059069,-2,0,1
-1.9282,2.467,0.0041348,0.00059069,-2,1,1
1.7367,2.1896,-4.9959,0.00059069,1,0,1
-0.53607,5.7183,0.0041348,0.00059069,-2,1,1
-1.2966,-0.97753,0.0041348,0.00059069,-2,0,1
-2.2442,-0.29818,0.0041348,0.00059069,-2,0,1
-2.1996,-1.9773,0.0041348,0.00059069,-2,0,1
0.9745,0.7771,0.0041348,0.00059069,-2,0,1
-1.8295,-1.6771,0.0041348,0.00059069,-2,0,1
0.17376,-2.9771,0.0041348,0.00059069,-2,0,1
2.7346,0.91074,2.0041,0.00059069,0,0,1
0.14021,1.7231,0.0041348,0.00059069,-2,0,1
-2.8729,1.7231,0.0041348,0.00059069,-2,0,1
-3.884,-3.4317,0.0041348,0.00059069,-2,1,1
-2.5065,3.0232,0.0041348,0.00059069,-2,0,1
-2.1226,-1.8192,4.0041,0.00059069,1,0,1
-4.5711,0.62333,0.0041348,0.00059069,-2,0,1
-2.5928,-4.9547,3.0041,0.00059069,0,1,1
3.4117,4.3482,0.0041348,0.00059069,-2,0,1
-2.7869,-4.8853,-1.9959,0.00059069,0,1,1
-0.22945,-0.25898,0.0041348,0.00059069,-2,1,1
-2.0099,1.9334,0.0041348,0.00059069,-2,1,1
0.71817,1.0233,0.0041348,0.00059069,-2,0,1
-0.23163,0.02329,0.0041348,0.00059069,-2,0,1
0.81104,0.91071,0.0041348,0.00059069,-2,0,1
1.8473,0.8733,0.0041348,0.00059069,-2,0,1
1.5781,2.207,-4.9959,0.00059069,1,0,1
