MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
-0.46196,-0.34905,-0.30068,-0.14134,-1,0,1
0.98304,1.0959,3.6993,-0.14134,1,0,1
-0.46196,-0.34905,-0.30068,1.8587,-1,1,1
-0.46196,-0.34905,-0.30068,0.85866,-1,1,1
2.088,-0.06374,0.69932,-0.14134,1,1,1
-0.46196,-0.34905,-0.30068,-1.1413,-1,1,1
-0.46196,-0.34905,-0.30068,4.8587,-1,0,1
3.3179,-1.5305,-4.3007,-0.14134,1,0,1
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,1
-1.9601,-1.1991,3.6993,-0.14134,0,1,1
-0.46196,-0.34905,-0.30068,-2.1413,-1,1,1
2.683,-0.89301,4.6993,-0.14134,1,1,1
-0.78996,-0.65407,-4.3007,-0.14134,1,1,1
-1.5155,-1.2002,4.6993,-0.14134,1,1,1
-0.46196,-0.34905,-0.30068,3.8587,-1,1,1
-2.956,-2.3541,2.6993,-0.14134,0,1,1
0.73705,-1.1991,4.6993,-0.14134,1,0,1
-1.4811,-5.6431,3.6993,-0.14134,1,1,1
-1.312,-2.4371,-2.3007,-0.14134,0,0,1
-0.46196,-0.34905,-0.30068,-4.1413,-1,0,1
2.088,3.4833,4.6993,-0.14134,1,1,1
-0.46196,-0.34905,-0.30068,3.8587,-1,1,1
-3.012,-1.7775,4.6993,-0.14134,1,0,1
0.32554,0.30693,4.6993,-0.14134,0,0,1
-0.46196,-0.34905,-0.30068,4.8587,-1,1,1
4.7804,4.3833,4.6993,-0.14134,1,1,1
0.46286,-1.1947,4.6993,-0.14134,1,1,1
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,1
-2.1458,-2.5154,4.6993,-0.14134,1,1,1
-3.1437,-1.2365,-2.3007,-0.14134,0,1,1
1.7135,1.4935,-4.3007,-0.14134,1,1,1
2.1837,4.629,-3.3007,-0.14134,0,0,1
-3.3017,-5.2577,-2.3007,-0.14134,0,1,1
-1.9873,-2.5327,4.6993,-0.14134,1,1,1
2.1033,-1.5936,-2.3007,-0.14134,1,1,1
2.088,2.2009,-0.30068,-0.14134,1,1,2
-1.2603,0.69496,0.69932,-0.14134,0,1,2
-0.46196,-0.34905,-0.30068,2.8587,-1,1,2
-3.095,4.6234,0.69932,-0.14134,1,0,2
-4.0546,-2.6972,-0.30068,-0.14134,1,1,2
-0.46196,-0.34905,-0.30068,1.8587,-1,0,2
-0.46196,-0.34905,-0.30068,-3.1413,-1,1,2
2.088,-1.6802,-4.3007,-0.14134,1,1,2
-2.9185,-2.8056,-4.3007,-0.14134,0,1,2
-4.3295,-1.2342,-4.3007,-0.14134,0,0,2
-0.46196,-0.34905,-0.30068,-4.1413,-1,0,2
0.86089,3.439,-3.3007,-0.14134,1,0,2
0.049298,-3.6068,-3.3007,-0.14134,1,1,2
-5.44,-5.3271,-3.3007,-0.14134,1,1,2
-0.46196,-0.34905,-0.30068,-4.1413,-1,0,2
-2.1038,-0.11318,-4.3007,-0.14134,1,1,2
-0.46196,-0.34905,-0.30068,4.8587,-1,1,2
-0.27772,1.6909,3.6993,-0.14134,0,0,2
0.77606,0.96845,2.6993,-0.14134,1,0,2
-0.46196,-0.34905,-0.30068,3.8587,-1,0,2
-1.4543,-1.0309,-4.3007,-0.14134,1,1,2
1.6443,1.7572,4.6993,-0.14134,1,1,2
-0.46196,-0.34905,-0.30068,2.8587,-1,0,2
-1.6902,0.69496,2.6993,-0.14134,0,1,2
1.4888,2.4452,-2.3007,-0.14134,1,1,2
0.37442,3.5184,-3.3007,-0.14134,1,1,2
0.72804,-1.1858,-2.3007,-0.14134,0,0,2
-1.7421,-2.0116,4.6993,-0.14134,1,0,2
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,2
-0.7743,3.2634,4.6993,-0.14134,1,0,2
-0.46196,-0.34905,-0.30068,4.8587,-1,0,2
-3.5157,1.4481,4.6993,-0.14134,1,1,2
-1.4395,1.5315,-4.3007,-0.14134,1,1,2
2.938,3.0509,-4.3007,-0.14134,1,0,3
1.7055,3.8684,-2.3007,-0.14134,0,1,3
0.64304,3.767,-1.3007,-0.14134,1,0,3
-0.46196,-0.34905,-0.30068,-2.1413,-1,1,3
0.13304,-0.22535,4.6993,-0.14134,1,1,3
1.5227,4.8933,-4.3007,-0.14134,0,1,3
-0.46196,-0.34905,-0.30068,-4.1413,-1,0,3
-0.96254,-0.46533,-3.3007,-0.14134,0,0,3
0.44294,-0.89403,-4.3007,-0.14134,1,1,3
0.80573,1.1595,4.6993,-0.14134,1,1,3
-2.2184,-1.2764,4.6993,-0.14134,1,1,3
-0.59765,1.6762,2.6993,-0.14134,0,0,3
-0.12728,1.0825,-3.3007,-0.14134,1,0,3
1.044,1.8238,4.6993,-0.14134,0,0,3
-0.46196,-0.34905,-0.30068,2.8587,-1,1,3
0.54911,-2.1239,4.6993,-0.14134,1,1,3
-1.7443,0.50095,4.6993,-0.14134,0,0,3
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,3
1.2754,3.4284,3.6993,-0.14134,1,1,3
-4.1038,-3.247,-3.3007,-0.14134,0,0,3
0.20622,3.2868,-2.3007,-0.14134,0,1,3
-0.46196,-0.34905,-0.30068,2.8587,-1,1,3
3.6986,-0.70409,-3.3007,-0.14134,1,0,3
-2.3043,0.63686,-2.3007,-0.14134,1,1,3
3.0129,0.37345,-2.3007,-0.14134,1,1,3
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,3
0.18141,-0.56155,-4.3007,-0.14134,1,1,3
1.3602,-3.3719,-4.3007,-0.14134,0,1,3
2.7022,-2.6044,-4.3007,-0.14134,1,0,3
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,3
1.3505,0.60372,2.6993,-0.14134,1,1,3
-0.055667,1.9459,4.6993,-0.14134,1,0,3
1.3804,1.0959,0.69932,-0.14134,1,0,4
-2.9582,-1.8368,0.69932,-0.14134,1,0,4
-0.46196,-0.34905,-0.30068,-0.14134,-1,1,4
-4.384,-0.69635,-0.30068,-0.14134,0,0,4
-0.13684,-3.0414,-2.3007,-0.14134,0,1,4
-4.4845,-5.3556,-2.3007,-0.14134,1,0,4
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,4
-4.0978,-2.4316,-3.3007,-0.14134,0,1,4
-0.46196,-0.34905,-0.30068,2.8587,-1,0,4
-2.4127,1.7572,2.6993,-0.14134,1,0,4
1.7797,0.75595,4.6993,-0.14134,1,1,4
-1.7957,2.0972,4.6993,-0.14134,1,1,4
-4.2402,-1.2962,4.6993,-0.14134,0,1,4
-0.74076,-0.60832,-3.3007,-0.14134,1,1,4
