MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
-0.93871,1.0913,-3.5253,-0.038937,0,1,1
-1.793,-1.7082,-1.5253,-0.038937,1,0,1
-1.9218,-1.9398,4.4747,-0.038937,1,1,1
3.4154,2.1762,-2.5253,-0.038937,1,1,1
-2.5146,0.097974,4.4747,-0.038937,0,0,1
2.0198,4.0102,3.4747,-0.038937,0,1,1
-3.156,-2.9015,3.4747,-0.038937,1,0,1
1.279,-1.6908,2.4747,-0.038937,1,0,1
-1.1421,-1.2838,-3.5253,-0.038937,1,1,1
3.6529,4.7645,-4.5253,-0.038937,1,1,1
-2.6005,-5.6798,2.4747,-0.038937,0,1,1
-1.3086,-2.2878,4.4747,-0.038937,0,1,1
-1.6366,-1.9015,-4.5253,-0.038937,1,1,1
-3.6083,-0.85273,2.4747,-0.038937,1,0,1
-4.3855,2.3049,-2.5253,-0.038937,1,0,1
0.80686,-4.1978,2.4747,-0.038937,1,0,1
-3.6413,-0.15244,-3.5253,-0.038937,1,0,1
-1.7696,-1.646,-4.5253,-0.038937,1,1,1
3.3804,4.6514,-4.5253,-0.038937,0,0,1
-0.32459,-0.23979,-0.5253,3.9611,-1,0,1
0.18971,-0.37378,-4.5253,-0.038937,1,1,1
0.39791,0.48271,-3.5253,-0.038937,0,0,2
-2.4039,1.9956,-4.5253,-0.038937,1,0,2
2.8952,2.3367,-1.5253,-0.038937,1,1,2
1.658,1.309,-3.5253,-0.038937,1,1,2
1.6172,1.4602,-4.5253,-0.038937,0,0,2
-0.32459,-0.23979,-0.5253,-1.0389,-1,1,2
3.174,-0.09742,-4.5253,-0.038937,1,1,2
-0.32459,2.782,-2.5253,-0.038937,0,1,2
-4.3482,2.5042,-4.5253,-0.038937,0,1,2
-0.32459,-0.23979,-0.5253,0.96106,-1,0,2
3.8283,-1.4404,4.4747,-0.038937,1,0,2
-4.2466,-0.034814,2.4747,-0.038937,1,0,2
-3.2626,0.75258,-2.5253,-0.038937,0,0,2
-0.79209,-2.1348,4.4747,-0.038937,1,0,2
0.69369,0.59108,-2.5253,-0.038937,1,0,2
-2.2678,-2.3169,0.4747,-0.038937,1,0,2
2.5534,3.0476,4.4747,-0.038937,0,0,2
-5.5363,-0.99409,4.4747,-0.038937,0,1,2
-0.12771,-2.7898,4.4747,-0.038937,1,0,2
-0.32459,1.6026,-4.5253,-0.038937,1,0,2
-2.8746,-2.4073,-4.5253,-0.038937,1,0,2
1.7634,2.3102,-4.5253,-0.038937,1,1,2
0.8943,0.46783,4.4747,-0.038937,1,1,2
2.746,0.41033,-4.5253,-0.038937,1,1,2
-2.8746,-2.7267,-2.5253,-0.038937,0,1,2
3.4528,-1.5998,-3.5253,-0.038937,1,1,2
2.2254,1.0913,-4.5253,-0.038937,0,1,3
-0.043139,-1.0898,-3.5253,-0.038937,1,1,3
-0.32459,-1.0273,-4.5253,-0.038937,1,0,3
