MFonMB_X_dummy,choices_dummy,subj_dummy
0,1,1
0,1,2
0,1,3
1,0,3
1,1,4
0,1,5
1,1,5
0,0,7
1,0,7
1,0,8
0,1,10
1,1,10
1,0,11
1,1,11
0,1,12
0,1,14
1,0,14
0,1,15
1,0,15
1,0,16
0,0,18
1,0,18
1,1,21
1,1,24
0,1,26
1,1,26
0,1,27
0,0,28
1,0,28
1,1,29
0,1,30
0,1,32
0,1,33
1,0,33
1,0,34
0,1,35
1,0,35
0,0,36
0,1,36
1,1,36
1,0,38
0,0,39
1,0,39
1,0,40
0,1,41
1,0,41
0,0,43
1,0,43
1,0,44
1,0,46
0,1,47
1,0,48
0,1,49
1,1,49
1,0,50
0,0,51
1,0,51
0,0,52
1,0,52
0,0,53
1,0,53
1,0,54
0,1,56
1,0,56
0,0,58
1,0,58
0,1,59
1,0,59
1,0,61
1,0,62
1,0,63
0,1,64
0,0,65
1,1,65
1,0,66
0,0,67
1,1,67
1,0,67
0,1,68
1,1,68
1,0,69
0,1,70
0,0,72
0,0,73
0,0,74
1,0,74
1,0,76
0,0,78
1,0,78
0,1,79
1,0,79
1,0,80
0,1,81
1,0,81
0,1,82
1,1,82
1,0,83
0,1,84
1,1,84
1,0,85
0,1,87
1,0,87
0,0,88
0,1,89
1,0,89
0,0,90
0,0,90
1,0,91
0,1,92
1,1,92
0,0,93
1,0,93
0,1,95
0,1,96
1,0,99
0,1,100
1,0,100
0,0,101
1,0,101
1,0,102
1,0,103
0,0,104
1,0,104
0,1,105
1,1,105
1,1,106
0,0,107
