MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-2.0494,-5.1985,-1.4474,0.84284,0.80181,3.2128,0.94212,3.2566,1,1
-2.0494,-2.1985,-1.4474,5.8428,0.80181,2.2128,0.94212,1.2566,1,1
3.9506,-3.1985,-1.4474,-1.1572,-8.1982,0.21281,-8.0579,0.25659,1,0
2.9506,-4.1985,-6.4474,-0.15716,-4.1982,0.21281,-0.057876,0.25659,1,0
1.9506,3.8015,-0.44735,-1.1572,-5.1982,0.21281,-5.0579,-1.7434,1,0
1.9506,-3.1985,-7.4474,-1.1572,-5.1982,0.21281,-5.0579,0.25659,1,0
2.9506,1.8015,-2.4474,0.84284,-8.1982,1.2128,-0.057876,0.25659,1,0
0.95058,-3.1985,-4.4474,4.8428,-4.1982,5.2128,-0.057876,5.2566,1,0
-0.049418,-3.1985,-0.44735,-1.1572,-0.19819,0.21281,-0.057876,0.25659,1,0
-1.0494,-1.1985,4.5526,-0.15716,1.8018,0.21281,-0.057876,0.25659,1,0
3.9506,-4.1985,-6.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-2.0494,-3.1985,0.55265,4.8428,0.80181,5.2128,-0.057876,5.2566,1,0
4.9506,-4.1985,-3.4474,-0.15716,-2.1982,0.21281,-0.057876,0.25659,1,0
1.9506,4.8015,-3.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
1.9506,-4.1985,0.55265,-0.15716,0.80181,0.21281,-0.057876,0.25659,1,0
-0.049418,3.8015,-1.4474,-0.15716,1.8018,0.21281,-0.057876,0.25659,1,1
4.9506,-0.19849,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-1.0494,-3.1985,-0.44735,7.8428,-0.19819,5.2128,-0.057876,5.2566,1,0
-3.0494,-3.1985,7.5526,-1.1572,4.8018,0.21281,4.9421,0.25659,1,0
-1.0494,-3.1985,6.5526,1.8428,-1.1982,2.2128,-0.057876,2.2566,1,0
-0.049418,-3.1985,-0.44735,-1.1572,-0.19819,0.21281,-0.057876,0.25659,1,1
-0.049418,-0.19849,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-2.0494,-3.1985,-0.44735,2.8428,-0.19819,7.2128,-0.057876,2.2566,1,1
-2.0494,-2.1985,-0.44735,0.84284,-0.19819,1.2128,-0.057876,0.25659,1,1
5.9506,5.8015,-8.4474,-7.1572,-0.19819,-0.78719,-0.057876,0.25659,1,1
-3.0494,-0.19849,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-0.049418,-4.1985,-2.4474,3.8428,-0.19819,0.21281,-0.057876,0.25659,1,1
-0.049418,-4.1985,-2.4474,10.843,-0.19819,11.213,-0.057876,11.257,1,0
6.9506,-2.1985,-9.4474,-0.15716,-1.1982,0.21281,-1.0579,0.25659,1,0
-4.0494,-0.19849,10.553,6.8428,1.8018,0.21281,-0.057876,0.25659,1,0
-5.0494,-5.1985,-0.44735,0.84284,-0.19819,1.2128,-0.057876,0.25659,1,0
6.9506,-2.1985,-5.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-2.0494,-4.1985,-0.44735,10.843,-0.19819,11.213,-0.057876,11.257,1,0
5.9506,-4.1985,-0.44735,-0.15716,-0.19819,6.2128,-0.057876,0.25659,1,0
-5.0494,-0.19849,9.5526,6.8428,6.8018,0.21281,6.9421,0.25659,1,0
-4.0494,4.8015,-0.44735,0.84284,5.8018,1.2128,-0.057876,0.25659,1,0
4.9506,-5.1985,-9.4474,0.84284,-0.19819,1.2128,-0.057876,0.25659,1,0
-5.0494,-4.1985,0.55265,10.843,0.80181,11.213,-0.057876,11.257,1,1
1.9506,1.8015,3.5526,-6.1572,-3.1982,-3.7872,-4.0579,-3.7434,1,0
0.95058,-0.19849,-5.4474,5.8428,-3.1982,0.21281,-0.057876,0.25659,1,1
0.95058,-6.1985,-5.4474,-0.15716,-3.1982,0.21281,-0.057876,0.25659,1,0
-5.0494,3.8015,-0.44735,-3.1572,-0.19819,2.2128,-0.057876,0.25659,1,1
-4.0494,-6.1985,7.5526,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-4.0494,2.8015,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-5.0494,1.8015,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
1.9506,5.8015,-0.44735,-12.157,1.8018,0.21281,-0.057876,0.25659,1,0
2.9506,-3.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-4.0494,-4.1985,6.5526,0.84284,5.8018,0.21281,5.9421,6.2566,1,1
-3.0494,5.8015,0.55265,-12.157,-0.19819,0.21281,-0.057876,0.25659,1,1
1.9506,-3.1985,0.55265,0.84284,0.80181,0.21281,0.94212,0.25659,1,0
-3.0494,5.8015,0.55265,-4.1572,-0.19819,-3.7872,-0.057876,-3.7434,1,1
0.95058,-3.1985,-0.44735,5.8428,-0.19819,-0.78719,-0.057876,0.25659,1,0
0.95058,5.8015,0.55265,-5.1572,0.80181,-4.7872,-0.057876,-4.7434,1,0
-3.0494,5.8015,5.5526,-5.1572,-1.1982,-4.7872,-0.057876,-4.7434,1,1
-2.0494,-6.1985,2.5526,11.843,3.8018,0.21281,-0.057876,0.25659,1,0
-0.049418,-3.1985,-0.44735,5.8428,-0.19819,-0.78719,-0.057876,0.25659,1,0
-2.0494,-6.1985,-0.44735,11.843,-0.19819,0.21281,-0.057876,0.25659,1,1
-3.0494,-0.19849,0.55265,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
1.9506,-4.1985,-2.4474,-0.15716,-1.1982,0.21281,0.94212,0.25659,1,0
-2.0494,2.8015,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
