MFonMB_X,MFonMB_X_dummy,Choice,Subj
-1.0886,-1,0,1
0.91139,1,0,1
0.91139,1,0,2
-1.0886,-1,1,3
0.91139,1,1,4
-1.0886,-1,1,5
-0.088608,0,0,5
0.91139,1,0,5
-0.088608,0,0,6
0.91139,1,0,6
-1.0886,-1,1,8
-0.088608,0,1,8
0.91139,1,0,8
-1.0886,-1,1,7
-0.088608,0,0,7
-1.0886,-1,0,9
-0.088608,0,0,9
0.91139,1,0,9
-1.0886,-1,1,10
-0.088608,0,0,10
-1.0886,-1,1,11
-0.088608,0,0,11
0.91139,1,0,11
-1.0886,-1,0,12
-0.088608,0,0,12
-1.0886,-1,0,13
-0.088608,0,0,13
0.91139,1,0,13
-1.0886,-1,1,14
-0.088608,0,1,14
-0.088608,0,0,15
0.91139,1,0,15
0.91139,1,0,16
-1.0886,-1,0,17
0.91139,1,0,17
-0.088608,0,0,21
0.91139,1,0,21
-1.0886,-1,1,22
0.91139,1,0,22
-1.0886,-1,1,24
-0.088608,0,0,24
0.91139,1,0,24
0.91139,1,0,23
-1.0886,-1,1,25
-0.088608,0,0,25
0.91139,1,0,25
-1.0886,-1,0,26
-0.088608,0,0,26
0.91139,1,0,26
-1.0886,-1,0,27
-0.088608,0,0,27
-0.088608,0,1,29
0.91139,1,0,29
-1.0886,-1,1,30
-0.088608,0,0,30
0.91139,1,0,30
0.91139,1,0,31
-1.0886,-1,0,32
-0.088608,0,0,32
0.91139,1,0,32
0.91139,1,0,33
-1.0886,-1,1,35
0.91139,1,0,35
-0.088608,0,1,34
0.91139,1,0,34
-0.088608,0,1,36
0.91139,1,0,36
-1.0886,-1,1,37
-0.088608,0,1,37
0.91139,1,0,37
-1.0886,-1,0,38
-0.088608,0,0,38
0.91139,1,0,38
-1.0886,-1,0,39
-0.088608,0,0,39
0.91139,1,0,39
0.91139,1,0,40
-0.088608,0,1,41
0.91139,1,0,41
-0.088608,0,0,42
-0.088608,0,0,43
0.91139,1,0,43
-1.0886,-1,1,44
-0.088608,0,0,45
-0.088608,0,1,47
-1.0886,-1,1,46
-0.088608,0,0,46
0.91139,1,0,46
-1.0886,-1,1,48
0.91139,1,0,48
-0.088608,0,0,49
0.91139,1,0,49
-1.0886,-1,0,50
0.91139,1,0,50
-1.0886,-1,0,51
-0.088608,0,0,51
0.91139,1,0,51
-1.0886,-1,0,52
-0.088608,0,0,52
0.91139,1,0,52
-1.0886,-1,0,53
-0.088608,0,0,58
0.91139,1,0,58
-0.088608,0,0,57
0.91139,1,0,57
-0.088608,0,0,59
0.91139,1,0,59
-1.0886,-1,1,60
0.91139,1,0,60
-1.0886,-1,0,61
-0.088608,0,0,61
0.91139,1,0,61
-1.0886,-1,0,62
-0.088608,0,0,62
0.91139,1,0,62
-1.0886,-1,0,63
-0.088608,0,1,63
0.91139,1,0,63
-1.0886,-1,1,65
-0.088608,0,0,65
0.91139,1,0,65
-1.0886,-1,1,64
-0.088608,0,0,64
0.91139,1,0,64
0.91139,1,0,66
-1.0886,-1,0,67
-0.088608,0,1,67
-0.088608,0,0,68
0.91139,1,0,68
0.91139,1,1,69
0.91139,1,1,69
-1.0886,-1,0,70
0.91139,1,0,70
-1.0886,-1,0,71
-0.088608,0,0,71
-1.0886,-1,1,72
0.91139,1,0,72
-0.088608,0,0,73
-1.0886,-1,1,74
-0.088608,0,0,74
0.91139,1,0,74
-0.088608,0,1,75
-1.0886,-1,1,76
0.91139,1,0,76
-1.0886,-1,1,77
-0.088608,0,0,77
0.91139,1,0,77
-0.088608,0,0,78
0.91139,1,0,78
-1.0886,-1,0,80
-0.088608,0,0,80
0.91139,1,0,80
-1.0886,-1,1,81
-0.088608,0,0,81
0.91139,1,0,81
-1.0886,-1,0,82
-0.088608,0,0,82
0.91139,1,0,82
