MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-4.6689,-3.157,-4.5093,-3.3569,0.024121,0.0015562,6,0
3.3311,3.843,3.4907,-1.3569,0.024121,0.0015562,6,0
-3.6689,-3.157,-3.5093,-3.3569,0.024121,0.0015562,6,0
1.3311,-3.157,2.4907,-3.3569,0.024121,0.0015562,6,0
1.3311,-3.157,1.4907,-1.3569,0.024121,0.0015562,6,1
1.3311,-3.157,-4.5093,-3.3569,0.024121,0.0015562,6,0
0.33109,-3.157,0.49073,-3.3569,0.024121,0.0015562,6,1
0.33109,1.843,1.4907,1.6431,0.024121,0.0015562,6,0
-0.66891,-3.157,-0.50927,-3.3569,0.024121,0.0015562,6,1
-0.66891,-0.15705,0.49073,-0.35689,0.024121,0.0015562,6,0
-2.6689,3.843,-2.5093,3.6431,0.024121,0.0015562,6,0
4.3311,1.843,-0.50927,1.6431,0.024121,0.0015562,6,0
4.3311,3.843,1.4907,3.6431,0.024121,0.0015562,6,1
-1.6689,4.843,-1.5093,1.6431,0.024121,0.0015562,6,0
0.33109,5.843,1.4907,5.6431,0.024121,0.0015562,6,1
0.33109,4.843,0.49073,1.6431,0.024121,0.0015562,6,1
4.3311,0.84295,4.4907,1.6431,0.024121,0.0015562,6,0
5.3311,4.843,0.49073,4.6431,0.024121,0.0015562,6,0
4.3311,5.843,4.4907,4.6431,0.024121,0.0015562,6,0
-1.6689,4.843,5.4907,-1.3569,0.024121,0.0015562,6,1
-1.6689,5.843,5.4907,4.6431,0.024121,0.0015562,6,1
-1.6689,-0.15705,5.4907,-0.35689,0.024121,0.0015562,6,1
-1.6689,-1.157,5.4907,1.6431,0.024121,0.0015562,6,1
-2.6689,-2.157,5.4907,-1.3569,0.024121,0.0015562,6,0
-1.6689,-1.157,-2.5093,-1.3569,0.024121,0.0015562,6,1
-2.6689,-2.157,-1.5093,-1.3569,0.024121,0.0015562,6,1
-2.6689,-3.157,-2.5093,-3.3569,0.024121,0.0015562,6,0
-2.6689,-3.157,-2.5093,-3.3569,0.024121,0.0015562,6,1
5.3311,-2.157,-2.5093,-2.3569,0.024121,0.0015562,6,0
6.3311,5.843,6.4907,5.6431,0.024121,0.0015562,6,1
6.3311,6.843,6.4907,-1.3569,0.024121,0.0015562,6,1
6.3311,-5.157,6.4907,-2.3569,0.024121,0.0015562,6,1
