MFonMB_X,Subj,Choice
-0.59192,2,1
5.4081,2,0
4.4081,2,1
3.4081,2,1
-0.59192,2,0
-3.5919,2,0
1.4081,2,1
-2.5919,2,1
2.4081,2,1
-2.5919,2,0
-1.5919,2,1
-0.59192,2,1
-2.5919,2,1
5.4081,3,0
-1.5919,3,0
-1.5919,3,1
-0.59192,3,0
-0.59192,3,1
-2.5919,3,0
3.4081,3,1
4.4081,3,1
-0.59192,3,0
1.4081,3,0
4.4081,3,1
-2.5919,3,1
3.4081,3,1
0.40808,5,0
-0.59192,5,0
-1.5919,5,0
-2.5919,5,0
-4.5919,5,1
-2.5919,5,1
-4.5919,5,0
5.4081,5,1
3.4081,5,0
-1.5919,5,0
4.4081,5,1
-1.5919,5,0
-2.5919,5,0
1.4081,6,0
-1.5919,6,0
2.4081,6,1
5.4081,6,0
-2.5919,6,0
-3.5919,6,0
-3.5919,6,1
0.40808,6,0
1.4081,6,1
-1.5919,6,1
4.4081,6,0
-0.59192,6,0
4.4081,6,0
2.4081,11,0
3.4081,11,0
0.40808,11,0
2.4081,11,0
3.4081,11,0
-0.59192,11,0
-4.5919,11,0
-4.5919,11,1
-1.5919,11,1
-2.5919,11,1
4.4081,11,0
4.4081,11,1
2.4081,11,0
3.4081,12,1
1.4081,12,1
-2.5919,12,1
-3.5919,12,1
-4.5919,12,1
-2.5919,12,1
-1.5919,12,1
5.4081,12,1
-0.59192,12,0
1.4081,12,1
0.40808,12,1
4.4081,12,1
4.4081,12,1
4.4081,16,0
-3.5919,16,1
-2.5919,16,1
0.40808,16,1
-3.5919,16,0
-0.59192,16,0
4.4081,16,0
3.4081,16,0
-3.5919,16,0
3.4081,16,0
0.40808,16,0
0.40808,16,0
3.4081,16,0
4.4081,19,0
3.4081,19,1
-2.5919,19,1
-0.59192,19,1
1.4081,19,1
-3.5919,19,1
3.4081,19,0
-2.5919,19,1
-2.5919,19,0
-0.59192,19,0
-4.5919,19,1
-1.5919,19,1
-3.5919,19,1
-2.5919,24,1
-0.59192,24,0
-1.5919,24,1
-0.59192,24,0
1.4081,24,1
-2.5919,24,0
-2.5919,24,0
0.40808,24,0
2.4081,24,1
4.4081,24,1
1.4081,24,1
1.4081,24,0
2.4081,24,1
2.4081,28,0
-3.5919,28,1
-1.5919,28,0
-3.5919,28,1
-1.5919,28,1
3.4081,28,1
-2.5919,28,1
0.40808,28,1
-3.5919,28,1
-1.5919,28,1
-0.59192,28,1
3.4081,28,1
-3.5919,28,1
-2.5919,33,0
4.4081,33,1
4.4081,33,0
-0.59192,33,0
-1.5919,33,1
4.4081,33,0
1.4081,33,1
0.40808,33,1
-2.5919,33,0
4.4081,33,1
-2.5919,33,0
-2.5919,33,0
2.4081,33,1
0.40808,33,1
-0.59192,35,0
-3.5919,35,1
-0.59192,35,0
-3.5919,35,0
2.4081,35,0
-2.5919,35,1
1.4081,35,0
-4.5919,35,1
-3.5919,35,0
-1.5919,35,1
3.4081,35,0
-2.5919,35,1
-4.5919,35,1
-2.5919,36,1
1.4081,36,0
5.4081,36,0
-0.59192,36,0
5.4081,36,0
-1.5919,36,0
-3.5919,36,0
1.4081,36,0
2.4081,36,0
1.4081,36,0
-2.5919,36,0
-0.59192,36,0
2.4081,36,0
1.4081,37,0
0.40808,37,1
-1.5919,37,1
-1.5919,37,1
-1.5919,37,1
-1.5919,37,0
-1.5919,37,1
0.40808,37,1
-0.59192,37,1
-2.5919,37,0
2.4081,37,1
-0.59192,37,0
2.4081,37,1
-4.5919,38,0
-2.5919,38,0
4.4081,38,0
3.4081,38,0
-2.5919,38,1
4.4081,38,1
-2.5919,38,1
-1.5919,38,0
-3.5919,38,1
-4.5919,38,0
-0.59192,38,1
1.4081,38,1
-0.59192,38,1
4.4081,40,1
-3.5919,40,1
-4.5919,40,1
1.4081,40,0
-4.5919,40,1
-2.5919,40,1
-0.59192,40,1
3.4081,40,0
3.4081,40,0
-1.5919,40,1
-2.5919,40,0
-0.59192,40,1
-2.5919,40,1
-3.5919,42,0
2.4081,42,0
-2.5919,42,0
-1.5919,42,1
-2.5919,42,0
-2.5919,42,1
-1.5919,42,0
4.4081,42,0
-4.5919,42,0
-4.5919,42,1
-0.59192,42,0
3.4081,42,1
2.4081,42,0
1.4081,44,0
-3.5919,44,0
0.40808,44,1
-2.5919,44,0
-0.59192,44,0
1.4081,44,0
-4.5919,44,0
0.40808,44,0
0.40808,44,0
-4.5919,44,0
-3.5919,44,0
-3.5919,44,0
-0.59192,44,0
-4.5919,45,1
2.4081,45,0
4.4081,45,0
-1.5919,45,1
4.4081,45,0
5.4081,45,1
-1.5919,45,1
-0.59192,45,1
-0.59192,45,1
1.4081,45,1
-0.59192,45,1
3.4081,45,0
-0.59192,45,1
-3.5919,46,1
4.4081,46,0
3.4081,46,0
4.4081,46,0
-2.5919,46,0
-4.5919,46,1
1.4081,46,0
-1.5919,46,1
1.4081,46,0
-4.5919,46,1
3.4081,46,0
-0.59192,46,0
-1.5919,49,1
-0.59192,49,0
-1.5919,49,1
0.40808,49,1
-0.59192,49,0
-2.5919,49,0
3.4081,49,1
-2.5919,49,0
-0.59192,49,0
4.4081,49,0
0.40808,49,0
-3.5919,49,0
0.40808,49,0
1.4081,50,1
-0.59192,50,1
-4.5919,50,0
0.40808,50,1
1.4081,50,1
-3.5919,50,0
-4.5919,50,0
-1.5919,50,0
-3.5919,50,0
2.4081,50,1
-2.5919,50,0
5.4081,50,1
4.4081,50,1
0.40808,51,1
1.4081,51,0
-1.5919,51,0
1.4081,51,0
-2.5919,51,0
2.4081,51,1
-0.59192,51,1
1.4081,51,0
0.40808,51,1
-3.5919,51,0
-3.5919,51,0
-0.59192,51,1
-1.5919,51,1
-0.59192,51,0
2.4081,53,1
-2.5919,53,1
0.40808,53,1
2.4081,53,1
-0.59192,53,0
-1.5919,53,0
-4.5919,53,1
-1.5919,53,0
-3.5919,53,0
0.40808,53,0
-3.5919,53,0
-2.5919,53,0
-0.59192,53,1
-1.5919,54,0
-2.5919,54,1
-3.5919,54,1
-0.59192,54,1
3.4081,54,0
2.4081,54,0
0.40808,54,1
4.4081,54,0
-2.5919,54,1
0.40808,54,1
-3.5919,54,1
-1.5919,54,0
-3.5919,54,0
-4.5919,55,1
-4.5919,55,1
4.4081,55,1
3.4081,55,1
5.4081,55,1
0.40808,55,1
1.4081,55,1
-0.59192,55,1
-3.5919,55,1
-0.59192,55,0
-0.59192,55,1
-2.5919,55,1
-3.5919,55,1
5.4081,57,1
-2.5919,57,0
-3.5919,57,1
0.40808,57,1
2.4081,57,0
4.4081,57,0
5.4081,57,0
-2.5919,57,1
-4.5919,57,1
3.4081,57,1
-3.5919,57,1
0.40808,57,0
0.40808,57,0
4.4081,57,1
1.4081,58,1
2.4081,58,1
1.4081,58,0
0.40808,58,1
3.4081,58,1
3.4081,58,1
-2.5919,58,0
-3.5919,58,1
-0.59192,58,1
-4.5919,58,1
-0.59192,58,0
-2.5919,58,0
0.40808,58,0
-1.5919,60,1
-3.5919,60,1
1.4081,60,1
3.4081,60,1
4.4081,60,0
-0.59192,60,0
4.4081,60,1
-3.5919,60,0
0.40808,60,0
4.4081,60,0
-0.59192,60,1
-3.5919,60,0
-4.5919,60,0
2.4081,63,1
-4.5919,63,1
2.4081,63,1
-3.5919,63,0
3.4081,63,1
-4.5919,63,1
2.4081,63,1
-1.5919,63,0
5.4081,63,1
