MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
0.0048455,0.016345,0.0059714,0.0014,-2,1,1
3.0048,3.0163,0.0059714,0.0014,-2,1,1
4.0048,4.0163,0.0059714,0.0014,-2,1,1
0.0048455,0.016345,0.0059714,0.0014,-2,1,1
2.0048,2.0163,0.0059714,0.0014,-2,1,1
-2.1627,2.0163,0.0059714,0.0014,-2,1,1
-3.8375,-1.9837,0.0059714,0.0014,-2,0,1
1.7048,0.016345,0.0059714,0.0014,-2,1,1
1.2331,1.3475,-2.994,0.0014,0,1,1
1.2331,-2.5337,0.0059714,0.0014,-2,0,1
2.0048,4.4604,0.0059714,0.0014,-2,1,1
-1.6952,0.97131,1.006,0.0014,1,1,1
2.4613,6.4613,0.0059714,0.0014,-2,0,1
5.0929,5.5975,0.0059714,0.0014,-2,1,1
1.0489,1.4349,0.0059714,0.0014,-2,1,1
-1.1077,-4.7557,0.0059714,0.0014,-2,0,1
-0.94086,1.415,-4.994,0.0014,1,0,1
4.6415,-0.73365,0.0059714,0.0014,-2,1,1
-0.67842,-3.3042,0.0059714,0.0014,-2,0,1
0.96083,-4.6402,0.0059714,0.0014,-2,0,1
-1.1077,-0.79624,0.0059714,0.0014,-2,1,1
0.25055,1.5195,0.0059714,0.0014,-2,1,1
1.8548,0.82019,0.0059714,0.0014,-2,1,1
1.7273,2.2446,0.0059714,0.0014,-2,0,1
1.6383,-0.11115,0.0059714,0.0014,-2,1,1
5.4316,4.2938,0.0059714,0.0014,-2,1,1
1.3676,-0.42736,0.0059714,0.0014,-2,1,1
1.1632,0.86635,-1.994,0.0014,1,1,1
-0.43886,-2.1274,0.0059714,0.0014,-2,1,1
-1.618,0.39349,0.0059714,0.0014,-2,1,1
-1.6952,0.016345,0.0059714,0.0014,-2,1,1
1.4498,1.4613,0.0059714,0.0014,-2,0,1
2.7766,-0.6899,0.0059714,0.0014,-2,1,1
2.9608,3.4163,0.0059714,0.0014,-2,1,1
-2.1077,-2.0962,0.0059714,0.0014,-2,1,1
0.40943,0.35635,0.0059714,0.0014,-2,1,1
1.0763,-1.1512,0.0059714,0.0014,-2,1,1
1.1247,1.8587,0.0059714,0.0014,-2,1,1
0.90644,0.86635,0.0059714,0.0014,-2,1,1
2.8828,-4.5057,0.0059714,0.0014,-2,1,1
0.65625,0.46005,0.0059714,0.0014,-2,1,1
2.1777,2.5663,0.0059714,0.0014,-2,1,1
2.6843,2.1044,0.0059714,0.0014,-2,1,1
3.7324,2.5663,0.0059714,0.0014,-2,1,1
1.2526,-2.1554,-4.994,0.0014,0,1,1
-2.6883,0.12635,0.0059714,0.0014,-2,0,1
-0.1625,3.6288,0.0059714,0.0014,-2,1,1
4.8626,0.016345,0.0059714,0.0014,-2,1,1
1.8574,0.26635,0.0059714,0.0014,-2,1,1
3.5146,3.4163,0.0059714,0.0014,-2,1,1
-3.9078,-2.6525,0.0059714,0.0014,-2,0,1
2.9306,2.1838,0.0059714,0.0014,-2,1,1
-3.932,-1.5719,0.0059714,0.0014,-2,1,1
-0.59515,2.1838,0.0059714,0.0014,-2,1,1
1.3398,-1.5837,0.0059714,0.0014,-2,1,1
4.0081,4.0163,0.0059714,0.0014,-2,1,1
1.0076,1.0163,0.0059714,0.0014,-2,1,1
2.0072,-1.0543,0.0059714,0.0014,-2,1,1
0.0068452,-2.5937,0.0059714,0.0014,-2,0,1
