MFonMB_X,MFonMB_X_dummy,Choice,Subj
-0.23669,0,1,1
1.7633,1,0,1
-1.2367,-1,1,3
1.7633,1,1,3
-0.23669,0,1,4
-0.23669,0,0,5
1.7633,1,1,5
-1.2367,-1,1,6
-0.23669,0,0,6
-0.23669,0,0,7
1.7633,1,0,7
1.7633,1,1,7
-1.2367,-1,0,8
-0.23669,0,0,8
1.7633,1,1,8
-1.2367,-1,1,9
1.7633,1,1,9
-0.23669,0,1,10
-0.23669,0,1,11
-0.23669,0,0,12
1.7633,1,1,12
-1.2367,-1,1,13
-0.23669,0,1,13
-1.2367,-1,0,14
-0.23669,0,1,14
-0.23669,0,0,15
-1.2367,-1,1,16
1.7633,1,1,16
1.7633,1,0,16
-0.23669,0,0,17
-1.2367,-1,0,18
-0.23669,0,0,18
-0.23669,0,1,19
1.7633,1,0,19
-0.23669,0,1,20
1.7633,1,0,20
-0.23669,0,0,21
-1.2367,-1,0,22
1.7633,1,0,22
-1.2367,-1,0,24
-0.23669,0,0,24
-0.23669,0,0,25
1.7633,1,0,26
-0.23669,0,1,27
-1.2367,-1,0,29
1.7633,1,1,29
-1.2367,-1,0,30
-0.23669,0,1,30
-1.2367,-1,1,31
-0.23669,0,1,31
-1.2367,-1,1,32
-0.23669,0,1,32
1.7633,1,1,32
1.7633,1,1,32
-1.2367,-1,1,33
-0.23669,0,1,33
-0.23669,0,1,34
-1.2367,-1,0,35
-0.23669,0,0,35
1.7633,1,1,35
-0.23669,0,1,36
-1.2367,-1,1,37
-0.23669,0,0,37
-0.23669,0,0,39
-0.23669,0,0,40
-0.23669,0,1,41
1.7633,1,0,41
-1.2367,-1,1,42
-0.23669,0,0,42
-1.2367,-1,0,43
-0.23669,0,0,43
-0.23669,0,0,44
-1.2367,-1,0,45
-0.23669,0,1,46
-0.23669,0,1,47
-1.2367,-1,0,48
-0.23669,0,0,48
1.7633,1,0,48
1.7633,1,1,48
-1.2367,-1,0,49
-0.23669,0,0,49
-0.23669,0,0,50
-1.2367,-1,1,52
-0.23669,0,1,52
1.7633,1,0,52
1.7633,1,0,52
-1.2367,-1,0,53
-0.23669,0,1,54
1.7633,1,0,54
1.7633,1,0,55
-1.2367,-1,1,56
-0.23669,0,1,56
1.7633,1,0,56
-1.2367,-1,0,57
-0.23669,0,0,57
-1.2367,-1,1,59
-0.23669,0,1,59
-0.23669,0,0,60
-1.2367,-1,0,61
-0.23669,0,1,61
1.7633,1,0,61
-0.23669,0,1,62
-1.2367,-1,1,63
-0.23669,0,1,63
-1.2367,-1,1,64
-0.23669,0,1,64
-0.23669,0,0,65
1.7633,1,1,65
-1.2367,-1,0,66
1.7633,1,0,66
-1.2367,-1,1,67
-0.23669,0,0,67
1.7633,1,0,67
-0.23669,0,0,68
-1.2367,-1,1,69
-0.23669,0,0,69
-1.2367,-1,0,70
-1.2367,-1,1,71
1.7633,1,0,71
-1.2367,-1,1,72
-0.23669,0,0,72
-1.2367,-1,0,74
1.7633,1,0,74
-1.2367,-1,0,75
1.7633,1,0,75
-0.23669,0,1,76
1.7633,1,1,76
-1.2367,-1,0,77
-0.23669,0,1,77
-0.23669,0,1,78
1.7633,1,0,78
-1.2367,-1,1,79
-0.23669,0,1,79
1.7633,1,1,79
-0.23669,0,0,80
1.7633,1,0,81
-0.23669,0,1,82
-0.23669,0,0,83
1.7633,1,0,84
-1.2367,-1,1,85
-0.23669,0,1,86
1.7633,1,0,86
1.7633,1,0,87
-1.2367,-1,0,88
-0.23669,0,1,88
-1.2367,-1,0,89
-0.23669,0,0,89
1.7633,1,0,89
-1.2367,-1,1,90
-0.23669,0,0,90
-1.2367,-1,1,91
-0.23669,0,1,91
-1.2367,-1,1,92
-0.23669,0,1,92
1.7633,1,0,92
-0.23669,0,1,93
1.7633,1,1,93
-0.23669,0,1,94
-1.2367,-1,1,95
-0.23669,0,1,95
-1.2367,-1,0,97
-0.23669,0,1,97
-1.2367,-1,1,98
-0.23669,0,0,98
1.7633,1,1,98
-1.2367,-1,1,99
-0.23669,0,1,99
-0.23669,0,0,100
1.7633,1,1,100
