MFonMB_X,MFonMB_X_dummy,Subj,Choice
,0,1,0
-2.4896,-1,1,1
2.5104,1,1,1
-2.4896,-1,2,0
2.5104,1,2,0
-2.4896,-1,3,1
2.5104,1,3,1
0.51042,0,4,1
-2.4896,-1,4,1
2.5104,1,4,0
-2.4896,-1,5,1
2.5104,1,5,1
-2.4896,-1,6,1
2.5104,1,6,1
-2.4896,-1,7,1
2.5104,1,7,0
-2.4896,-1,8,1
2.5104,1,8,1
-2.4896,-1,9,1
2.5104,1,9,0
-2.4896,-1,10,1
2.5104,1,10,1
-2.4896,-1,12,1
2.5104,1,12,0
-2.4896,-1,13,1
2.5104,1,13,1
-2.4896,-1,14,1
2.5104,1,14,1
-2.4896,-1,15,1
2.5104,1,15,1
-2.4896,-1,16,1
2.5104,1,16,1
-2.4896,-1,17,0
2.5104,1,17,0
-2.4896,-1,18,0
2.5104,1,18,0
-2.4896,-1,19,1
2.5104,1,19,1
-2.4896,-1,20,1
2.5104,1,20,1
-2.4896,-1,21,1
2.5104,1,21,1
-2.4896,-1,22,1
-2.4896,-1,23,0
2.5104,1,23,0
-2.4896,-1,24,0
2.5104,1,24,1
-2.4896,-1,25,1
2.5104,1,25,1
-2.4896,-1,26,1
2.5104,1,26,1
-2.4896,-1,27,0
2.5104,1,27,0
-2.4896,-1,28,1
2.5104,1,28,0
-2.4896,-1,29,1
2.5104,1,29,0
2.5104,1,30,0
2.5104,1,31,0
-2.4896,-1,32,1
2.5104,1,32,1
-2.4896,-1,33,1
2.5104,1,33,1
-2.4896,-1,34,1
2.5104,1,34,1
-2.4896,-1,35,1
2.5104,1,35,1
-2.4896,-1,36,1
2.5104,1,36,1
-2.4896,-1,37,1
2.5104,1,37,0
-2.4896,-1,38,1
2.5104,1,38,1
-2.4896,-1,39,1
-2.4896,-1,40,1
2.5104,1,40,1
-2.4896,-1,41,0
2.5104,1,41,1
-2.4896,-1,42,1
2.5104,1,42,1
-2.4896,-1,43,0
-2.4896,-1,44,1
2.5104,1,44,1
2.5104,1,45,0
-2.4896,-1,46,1
2.5104,1,46,0
-2.4896,-1,47,1
2.5104,1,47,1
-2.4896,-1,48,1
2.5104,1,48,1
0.51042,0,49,1
-2.4896,-1,49,1
-2.4896,-1,50,1
2.5104,1,50,1
-2.4896,-1,51,0
2.5104,1,51,0
-2.4896,-1,52,1
2.5104,1,52,0
-2.4896,-1,53,1
2.5104,1,53,0
-2.4896,-1,54,0
2.5104,1,54,0
-2.4896,-1,55,1
2.5104,1,55,1
-2.4896,-1,56,0
2.5104,1,56,0
-2.4896,-1,57,1
2.5104,1,57,1
-2.4896,-1,58,1
2.5104,1,58,1
-2.4896,-1,59,0
2.5104,1,59,0
-2.4896,-1,60,1
2.5104,1,60,1
0.51042,0,61,0
-2.4896,-1,61,1
2.5104,1,61,1
-2.4896,-1,62,1
2.5104,1,62,1
-2.4896,-1,63,1
2.5104,1,63,0
-2.4896,-1,64,1
2.5104,1,64,0
-2.4896,-1,65,1
2.5104,1,65,0
-2.4896,-1,66,1
2.5104,1,66,1
-2.4896,-1,67,1
2.5104,1,67,1
-2.4896,-1,68,0
2.5104,1,68,0
0.51042,0,69,0
-2.4896,-1,69,0
2.5104,1,69,0
-2.4896,-1,70,0
2.5104,1,70,1
-2.4896,-1,71,1
2.5104,1,71,0
-2.4896,-1,72,0
2.5104,1,72,1
-2.4896,-1,73,0
2.5104,1,73,0
-2.4896,-1,74,1
2.5104,1,74,1
-2.4896,-1,75,1
2.5104,1,75,0
2.5104,1,76,1
-2.4896,-1,77,1
2.5104,1,77,0
-2.4896,-1,78,1
2.5104,1,78,1
-2.4896,-1,79,1
2.5104,1,79,1
-2.4896,-1,80,1
2.5104,1,80,1
-2.4896,-1,81,0
2.5104,1,81,0
-2.4896,-1,82,1
2.5104,1,82,0
-2.4896,-1,83,0
2.5104,1,83,0
-2.4896,-1,84,1
2.5104,1,84,1
-2.4896,-1,85,1
2.5104,1,85,1
-2.4896,-1,86,1
2.5104,1,86,1
-2.4896,-1,87,1
2.5104,1,87,0
-2.4896,-1,88,1
-2.4896,-1,89,0
2.5104,1,89,0
-2.4896,-1,90,0
-2.4896,-1,92,1
2.5104,1,92,1
-2.4896,-1,93,1
2.5104,1,93,0
0.51042,0,94,0
-2.4896,-1,94,0
2.5104,1,94,0
-2.4896,-1,95,1
2.5104,1,95,0
-2.4896,-1,96,0
2.5104,1,96,0
-2.4896,-1,97,0
2.5104,1,97,0
-2.4896,-1,98,1
2.5104,1,98,0
-2.4896,-1,99,0
2.5104,1,99,0
-2.4896,-1,100,0
2.5104,1,100,1
