MFonMB_X,MFonMB_X_dummy,Subj,Choice
1.0732,1,1,1
3.0732,1,2,1
4.0732,1,2,0
4.0732,1,4,1
1.0732,1,5,0
3.0732,1,6,0
4.0732,1,6,1
4.0732,1,6,0
0.073171,0,7,1
-1.9268,-1,7,0
4.0732,1,7,0
-3.9268,-1,7,1
7.0732,1,8,0
-4.9268,-1,11,1
6.0732,1,11,0
6.0732,1,12,0
-1.9268,-1,14,0
-3.9268,-1,15,1
0.073171,0,17,0
-1.9268,-1,17,1
-0.92683,-1,21,0
0.073171,0,22,1
-0.92683,-1,23,1
0.073171,0,23,0
0.073171,0,25,0
0.073171,0,26,1
-6.9268,-1,26,0
-1.9268,-1,27,1
2.0732,1,27,1
2.0732,1,29,0
1.0732,1,29,1
3.0732,1,29,0
-1.9268,-1,30,1
3.0732,1,31,0
2.0732,1,32,1
2.0732,1,34,1
0.073171,0,36,1
-0.92683,-1,37,1
3.0732,1,38,1
-3.9268,-1,38,0
-0.92683,-1,39,0
3.0732,1,40,1
-2.9268,-1,40,1
0.073171,0,42,0
-3.9268,-1,42,1
-3.9268,-1,42,1
-1.9268,-1,44,0
5.0732,1,44,0
0.073171,0,48,0
-3.9268,-1,50,0
0.073171,0,50,0
4.0732,1,50,0
3.0732,1,51,0
-0.92683,-1,52,0
2.0732,1,53,0
0.073171,0,54,1
2.0732,1,54,0
0.073171,0,55,1
-2.9268,-1,55,1
-3.9268,-1,55,0
1.0732,1,56,1
0.073171,0,56,0
-0.92683,-1,57,1
-3.9268,-1,61,1
-0.92683,-1,61,1
0.073171,0,62,1
0.073171,0,63,0
2.0732,1,63,0
-0.92683,-1,63,0
-2.9268,-1,63,1
0.073171,0,64,1
3.0732,1,64,0
1.0732,1,65,0
-4.9268,-1,65,1
3.0732,1,66,1
-0.92683,-1,66,0
5.0732,1,67,0
-0.92683,-1,67,0
-3.9268,-1,68,1
-3.9268,-1,68,0
-0.92683,-1,71,1
-0.92683,-1,72,0
-6.9268,-1,72,1
4.0732,1,72,0
2.0732,1,73,0
-3.9268,-1,73,0
3.0732,1,75,0
-4.9268,-1,76,1
-3.9268,-1,77,0
-1.9268,-1,77,0
-1.9268,-1,79,1
-0.92683,-1,80,0
-2.9268,-1,80,0
-2.9268,-1,82,0
-2.9268,-1,82,1
3.0732,1,82,1
-5.9268,-1,83,0
6.0732,1,83,1
4.0732,1,85,0
3.0732,1,85,0
3.0732,1,86,0
-4.9268,-1,87,0
3.0732,1,87,1
6.0732,1,87,0
0.073171,0,89,0
1.0732,1,89,0
-1.9268,-1,89,0
3.0732,1,89,1
4.0732,1,90,0
5.0732,1,90,1
-4.9268,-1,91,1
-1.9268,-1,91,1
0.073171,0,92,1
0.073171,0,94,0
0.073171,0,95,1
-0.92683,-1,95,0
-0.92683,-1,96,0
5.0732,1,97,0
-4.9268,-1,97,1
-3.9268,-1,98,1
0.073171,0,99,1
-3.9268,-1,99,0
-3.9268,-1,100,0
