"subject","datestamp","timestamp","version","comments","id"
"test_m3r5","2015-01-09","20:49:12","rp_moral_1","test","1"
"test_m3r5","2015-01-09","22:31:21","rp_moral_1","test2","2"
"A3RW5C1G9LVVV4_m3r5","2015-01-12","16:59:56","rp_moral_1","I picked randomly, finding payouts. Then I stuck with that path until it turned 0 or negative, and started over.","3"
"A3ODG942FG22PJ_m3r5","2015-01-12","17:01:29","rp_moral_1","Instinct.","4"
"A1G3KH4F058XY0_m3r5","2015-01-12","17:01:55","rp_moral_1","undefined","5"
"A1KZRSLKACHL4D_m3r5","2015-01-12","17:02:04","rp_moral_1","I guessed. If something gave me positive numbers, I went for it again until it did not.","6"
"A33QXQVY6GU1FI_m3r5","2015-01-12","17:02:08","rp_moral_1","If it showed green, I kept clicking it. If it went red I tried all four until I fonud the money","7"
"AKLG79EPGKTDP_m3r5","2015-01-12","17:02:09","rp_moral_1","My strategy when choosing the numbers at first was to go with my gut instinct rather than to sit and think about which one to choose, and once I found a word that was starting to award points, I would choose it consecutively until it either awarded no points or deducted points from my score, and then I would go back to searching for a work that offered points again, and repeat.","8"
"A13BTXTJQIXWTL_m3r5","2015-01-12","17:02:24","rp_moral_1","I found a word that gave a positive payout and stuck with it until it ceased payment.","9"
"A2YHT2CVXQFPSK_m3r5","2015-01-12","17:02:45","rp_moral_1","I mostly just chose randomly.  If I got a negative number I was more likely to switch my choice, if I got a positive a chose it again.","10"
"ADHA4F4848RAH_m3r5","2015-01-12","17:04:21","rp_moral_1","this was teal fun thanks. And my strat was when I was hot with 1 section I would keep going to it.!","11"
"A1D0YNDAOF5I65_m3r5","2015-01-12","17:04:43","rp_moral_1","I tried to find the ""hot"" word by checking each number.","12"
"A3U74S280Z4B0_m3r5","2015-01-12","17:06:30","rp_moral_1","Just simple observation of what seemed to get the best results and following along.","13"
"A3IK35A3FDWZF5_m3r5","2015-01-12","17:06:51","rp_moral_1","I tried not to pick the same numbers and words if they gave a positive bonus the turn before.","14"
"A1XWT5Q5HGYR12_m3r5","2015-01-12","17:07:00","rp_moral_1","I was just searching for the ""hot"" word the entire time and I knew what number selection would get me to them.","15"
"A3N6JLEAMOBJU9_m3r5","2015-01-12","17:07:14","rp_moral_1","I would usually choose the 222 button, which normally led to me getting to choose between orange words, which let me gain points. This fell apart at the end, and every choice I made made me loose points.","16"
"A347BIKLDRUUXM_m3r5","2015-01-12","17:07:43","rp_moral_1","My strategy was just to try to figure out which word gave the most points at the time, and try my best to get that word through trail and error. Interesting study, thanks! Good luck with your research!","17"
