"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test_dg_v15","2015-05-10","20:43:14","dawstage2_v1","1","3","1","2","2","3","0","952","470","0","1","0","1"
"test_adam1_dg_v15","2015-05-11","14:16:13","dawstage2_v1","1","2","5","3","3","2","0","937","613","0","1","0","2"
"test_adam1_dg_v15","2015-05-11","14:16:18","dawstage2_v1","1","2","5","3","3","2","0","2128","431","0","2","0","3"
"test_adam1_dg_v15","2015-05-11","14:16:24","dawstage2_v1","1","3","5","2","2","3","0","1095","992","0","3","0","4"
"test_adam1_dg_v15","2015-05-11","14:16:28","dawstage2_v1","1","4","5","2","2","4","0","587","423","0","4","0","5"
"test_adam1_dg_v15","2015-05-11","14:16:32","dawstage2_v1","1","2","5","3","3","2","0","697","486","0","5","0","6"
"test_adam1_dg_v15","2015-05-11","14:16:37","dawstage2_v1","1","4","8","4","4","4","0","1343","447","0","6","0","7"
"test_adam1_dg_v15","2015-05-11","14:16:43","dawstage2_v1","1","4","3","4","4","4","0","1350","550","0","7","0","8"
"test_adam1_dg_v15","2015-05-11","14:16:47","dawstage2_v1","1","2","3","4","4","4","0","913","477","0","8","0","9"
"test_adam1_dg_v15","2015-05-11","14:16:52","dawstage2_v1","1","4","3","4","4","4","0","1023","471","0","9","0","10"
"test_adam1_dg_v15","2015-05-11","14:16:56","dawstage2_v1","1","4","1","2","2","4","0","1235","472","0","10","0","11"
"test_adam1_dg_v15","2015-05-11","14:17:23","dawstage2_v1","1","4","5","2","2","4","0","1580","399","0","11","0","12"
"test_adam1_dg_v15","2015-05-11","14:17:27","dawstage2_v1","1","3","5","2","2","4","0","637","743","0","12","0","13"
"test_adam1_dg_v15","2015-05-11","14:17:32","dawstage2_v1","1","4","1","2","2","4","0","637","471","0","13","0","14"
"test_adam1_dg_v15","2015-05-11","14:17:37","dawstage2_v1","1","4","8","4","4","4","0","1832","439","0","14","0","15"
"test_adam1_dg_v15","2015-05-11","14:17:41","dawstage2_v1","1","3","1","2","2","4","0","862","365","0","15","0","16"
"test_adam1_dg_v15","2015-05-11","14:17:46","dawstage2_v1","1","2","3","1","1","2","0","1035","367","0","16","0","17"
"test_adam1_dg_v15","2015-05-11","14:17:50","dawstage2_v1","1","2","1","1","1","2","0","913","419","0","17","0","18"
