"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test_dg_v15","2015-10-09","17:40:38","dayanSto_fmri_v1","0","0","15","0","0","0","0","1003","752","0","1","0","158858"
"test_dg_v15","2015-10-09","17:40:41","dayanSto_fmri_v1","1","1","23","1","1","0","0","1327","541","0","2","0","158859"
"test_dg_v15","2015-10-09","17:40:45","dayanSto_fmri_v1","0","1","2","1","1","0","0","1515","434","0","3","0","158860"
"test_dg_v15","2015-10-09","17:40:51","dayanSto_fmri_v1","1","0","17","0","0","0","0","4035","485","0","4","0","158861"
"test_dg_v15","2015-10-09","17:40:55","dayanSto_fmri_v1","0","0","6","0","0","0","0","938","345","0","5","0","158862"
"test_dg_v15","2015-10-09","17:41:11","dayanSto_fmri_v1","1","1","3","0","0","1","0","3210","1229","0","6","0","158863"
"test_dg_v15","2015-10-09","21:25:24","dayanSto_fmri_v1","0","1","12","0","0","0","0","2812","528","0","1","0","158864"
"test_dg_v15","2015-10-09","21:25:32","dayanSto_fmri_v1","1","1","3","0","0","0","0","4167","452","0","2","0","158865"
"test_dg_v15","2015-10-09","21:25:35","dayanSto_fmri_v1","0","0","4","0","0","0","0","1565","450","0","3","0","158866"
"test_dg_v15","2015-10-09","21:25:45","dayanSto_fmri_v1","1","1","23","1","1","0","0","1523","6199","0","4","0","158867"
"test_dg_v15","2015-10-09","21:25:57","dayanSto_fmri_v1","0","0","14","0","0","0","0","9987","497","0","5","0","158868"
"test_dg_v15","2015-10-09","21:26:12","dayanSto_fmri_v1","1","2","23","1","1","2","0","5445","820","0","6","0","158869"
"test_dg_v15","2015-10-09","21:26:19","dayanSto_fmri_v1","0","0","12","0","0","0","0","3749","411","0","7","0","158870"
"test_dg_v15","2015-10-09","21:26:24","dayanSto_fmri_v1","1","1","1","0","0","1","0","2054","419","0","8","0","158871"
"test_dg_v15","2015-10-09","21:26:46","dayanSto_fmri_v1","0","0","4","1","2","0","0","11452","1889","0","9","0","158872"
"test_dg_v15","2015-10-09","21:26:51","dayanSto_fmri_v1","1","0","19","1","1","1","0","1479","928","0","10","0","158873"
"test_dg_v15","2015-10-09","21:28:38","dayanSto_fmri_v1","0","0","6","-1","-1","-1","0","1507","566","0","11","0","158874"
"test_dg_v15","2015-10-09","21:28:41","dayanSto_fmri_v1","1","0","23","1","1","2","2","1630","544","0","12","0","158875"
"test_dg_v15","2015-10-09","21:28:45","dayanSto_fmri_v1","0","0","9","1","1","1","0","2232","544","0","13","0","158876"
"test_dg_v15","2015-10-09","21:28:50","dayanSto_fmri_v1","1","0","15","-1","-1","-1","0","2551","570","0","14","0","158877"
"test_dg_v15","2015-10-09","21:28:54","dayanSto_fmri_v1","0","0","15","0","0","0","0","2183","536","0","15","0","158878"
"test_dg_v15","2015-10-09","21:29:05","dayanSto_fmri_v1","1","0","23","1","1","2","-3","1729","566","37","16","0","158879"
"test_dg_v15","2015-10-09","21:29:08","dayanSto_fmri_v1","0","0","15","0","0","0","0","873","731","0","17","0","158880"
