subject,datestamp,timestamp,version,Type,Goal,OptNum,Action,S2,Re,rt1,rt2,score,round,Crit,id
test_dg_v15,5/10/2015,20:44:09,numberSum_v1,1,1,1,1,1,0,1633,1313,0,1,0,3
test_dg_v15,5/11/2015,17:02:30,numberSum_v1,1,1,6,1,1,0,3326,3093,0,1,0,4
test_dg_v15,5/11/2015,17:02:35,numberSum_v1,1,0,1,0,0,0,1829,1000,0,2,0,5
test_dg_v15,5/11/2015,17:02:39,numberSum_v1,1,1,7,1,1,0,2073,606,0,3,0,6
test_dg_v15,5/11/2015,17:02:44,numberSum_v1,1,0,10,0,0,0,1935,871,0,4,0,7
test_dg_v15,5/11/2015,17:02:48,numberSum_v1,1,1,1,1,1,0,1264,490,0,5,0,8
test_dg_v15,5/11/2015,17:02:52,numberSum_v1,1,1,9,1,1,0,1846,629,0,6,0,9
test_dg_v15,5/11/2015,17:02:58,numberSum_v1,1,0,12,-1,-1,0,1883,2076,0,7,0,10
test_dg_v15,5/11/2015,17:03:01,numberSum_v1,1,1,10,1,1,0,1533,603,0,8,0,11
test_dg_v15,5/11/2015,17:03:07,numberSum_v1,1,0,10,0,0,0,1273,812,0,9,0,12
test_dg_v15,5/11/2015,17:03:14,numberSum_v1,1,0,10,0,0,0,1491,1120,0,10,0,13
test_dg_v15,5/11/2015,17:03:31,numberSum_v1,1,1,4,0,0,0,1929,966,0,11,0,14
test_dg_v15,5/11/2015,17:03:36,numberSum_v1,1,0,6,0,0,0,1861,1081,0,12,0,15
test_dg_v15,5/11/2015,17:03:41,numberSum_v1,1,0,4,0,0,0,2038,650,0,13,0,16
test_dg_v15,5/11/2015,17:03:45,numberSum_v1,1,1,9,1,1,0,1531,655,0,14,0,17
test_dg_v15,5/11/2015,17:03:49,numberSum_v1,1,1,9,1,1,0,1518,697,0,15,0,18
test_dg_v15,5/11/2015,17:03:53,numberSum_v1,1,0,9,1,1,0,1529,500,0,16,0,19
test_dg_v15,5/11/2015,17:03:57,numberSum_v1,1,0,12,0,0,0,1255,1148,0,17,0,20
test_dg_v15,5/11/2015,17:04:03,numberSum_v1,1,0,9,0,0,0,2524,1704,0,18,0,21
test_dg_v15,5/11/2015,17:04:08,numberSum_v1,1,0,7,0,0,0,1791,868,0,19,0,22
test_dg_v15,5/11/2015,17:05:46,numberSum_v1,1,1,15,1,1,0,1938,564,0,1,0,23
test_dg_v15,5/11/2015,17:05:53,numberSum_v1,1,1,4,1,1,0,2568,630,0,2,0,24
test_dg_v15,5/11/2015,17:05:58,numberSum_v1,1,1,9,0,0,0,1325,1050,0,3,0,25
test_dg_v15,5/11/2015,17:06:02,numberSum_v1,1,1,9,1,1,0,1316,598,0,4,0,26
test_dg_v15,5/11/2015,17:06:07,numberSum_v1,1,1,4,1,2,0,1363,1114,0,5,0,27
test_dg_v15,5/11/2015,17:06:12,numberSum_v1,1,0,9,-1,-1,0,1624,828,0,6,0,28
test_dg_v15,5/11/2015,17:06:15,numberSum_v1,1,0,7,0,0,0,1653,798,0,7,0,29
