MFonMB_X,Subj,Choice
0.57763,1,0
-0.72235,1,1
-0.4412,1,0
-0.85406,1,0
3.0729,1,1
0.35975,1,1
8.4747,1,0
7.9608,1,0
19.979,1,0
-4.5388,1,1
-8.3731,1,0
-8.3898,1,0
1.6225,1,0
-0.35305,1,0
7.4278,1,0
6.3561,1,0
10.966,2,0
1.0026,2,0
-4.8953,2,1
-3.4517,2,1
-2.4716,2,1
1.7471,2,1
-0.6203,2,1
-1.7166,2,1
-4.6521,2,1
1.2793,2,1
4.441,2,0
3.7439,2,0
4.9257,2,0
-0.85656,2,1
-1.9717,2,0
-1.332,2,0
4.5997,3,0
-2.1831,3,1
-8.4911,3,1
2.4985,3,0
7.2581,3,0
1.9715,3,0
-3.069,3,1
-1.2632,3,1
0.84156,3,1
0.094056,3,0
1.2861,3,1
2.9782,3,0
3.2751,3,0
2.2251,3,0
0.88311,3,0
3.2127,3,0
10.977,4,0
7.2535,4,0
14.451,4,0
0.55932,4,0
-3.1207,4,0
6.5337,4,0
7.5684,4,0
5.2681,4,0
-3.7018,4,0
0.3428,4,0
-2.7137,4,1
12.471,4,0
2.3265,4,1
4.1499,4,0
0.14491,4,0
4.5731,4,0
1.4191,5,1
11.838,5,0
-3.1831,5,1
-4.9969,5,1
0.050645,5,1
0.20921,5,1
-1.2633,5,1
-4.2175,5,0
-6.7361,5,0
-7.8467,5,1
-9.3467,5,0
-0.72532,5,1
-3.4182,5,0
3.7307,5,0
-0.88481,5,0
8.6278,6,0
-0.9887,6,0
-1.9283,6,0
-5.5091,6,0
3.9277,6,0
5.3484,6,0
5.3589,6,1
6.9877,6,0
6.8531,6,1
9.4193,6,0
-1.8376,6,0
-4.7633,6,0
3.7853,6,0
2.3487,6,0
1.7471,6,0
2.0974,6,1
3.4234,6,0
6.2613,6,0
-1.2488,7,1
-3.0591,7,1
1.7484,7,1
-0.85412,7,1
3.2323,7,0
-2.2407,7,1
1.0645,7,1
0.56755,7,0
-0.29181,7,0
3.5632,7,0
-0.6313,7,0
-4.7733,7,0
-4.7289,7,1
-7.9219,7,1
-4.3335,7,0
-5.6822,7,1
-2.1761,8,1
3.8422,8,0
-3.737,8,1
-4.4509,8,0
-2.1972,8,0
-2.2909,8,0
-9.0048,8,0
-15.346,8,0
1.0773,8,0
-0.7454,8,0
0.47865,8,0
-3.1007,8,0
-0.37095,8,1
0.94325,8,0
-0.62984,8,0
-0.06743,9,1
3.6251,9,0
1.94,9,0
3.4763,9,1
2.4796,9,0
-2.3742,9,0
-1.4146,9,0
-4.9663,9,0
2.2431,9,0
-1.7848,9,0
11.949,9,0
0.53852,9,1
5.7805,9,0
5.2517,9,0
-2.6832,9,1
1.7471,10,0
-0.6048,10,1
4.2932,10,1
-2.1681,10,1
10.592,10,1
-1.8349,10,0
-0.651,10,1
2.6487,10,1
-6.1626,10,0
-4.3255,10,0
-2.6341,10,1
1.9243,10,1
-1.1826,10,1
-5.0103,10,1
-1.949,10,1
6.0357,10,1
6.2661,10,0
4.3423,11,0
0.91263,11,0
4.3543,11,0
2.1027,11,0
5.556,11,0
9.1958,11,1
-0.38496,11,0
1.7836,11,0
1.9237,11,0
5.0714,11,0
0.39887,11,0
1.202,11,0
-4.2419,11,0
1.7471,11,0
-3.473,11,1
-6.6664,11,0
3.1285,12,0
2.2146,12,1
-3.1416,12,0
2.2702,12,0
-5.5712,12,1
-6.7623,12,0
-4.3408,12,0
-9.8616,12,0
-14.385,12,0
-10.887,12,0
-13.858,12,0
-3.1267,12,1
-14.849,12,0
-0.48773,12,1
-14.924,12,1
7.8494,12,1
-0.3312,13,0
2.1187,13,1
2.4533,13,1
0.33639,13,0
3.9552,13,1
4.5094,13,1
6.7889,13,1
-5.8591,13,0
-0.17526,13,1
0.4258,13,1
-3.3936,13,1
5.605,13,1
-2.39,13,0
-5.6764,13,0
-13.347,13,1
-14.714,13,1
1.7346,14,0
-6.1828,14,1
-6.657,14,0
-5.4336,14,1
-5.1108,14,1
-8.466,14,1
-11.461,14,1
-5.5203,14,1
1.7471,14,1
2.3785,14,1
3.1213,14,1
-15.537,14,0
-1.3082,14,1
-22.453,14,1
-19.422,14,0
-11.944,15,1
-12.411,15,1
1.0331,15,0
2.8818,15,1
-2.2104,15,1
0.53935,15,0
4.849,15,1
2.6417,15,1
3.5203,15,0
-0.51059,15,1
-3.8399,15,1
-4.4758,15,1
1.483,15,1
-3.1509,15,0
7.5014,15,0
7.1143,16,0
4.2182,16,1
7.6713,16,1
10.444,16,1
