MFonMB_X,Subj,Choice
0.29361,1,1
-1.7064,1,0
-0.70639,1,1
5.2936,1,0
0.29361,1,0
2.2936,1,0
3.2936,1,0
3.2936,1,1
0.29361,1,0
-0.70639,1,0
-2.7064,1,1
-0.70639,1,0
0.29361,2,1
0.29361,2,0
-1.7064,2,0
-4.7064,2,0
2.2936,2,0
-1.7064,2,1
1.2936,2,1
-0.70639,2,0
0.29361,2,0
-4.7064,2,0
2.2936,2,1
-0.70639,2,1
2.2936,2,1
4.2936,3,1
0.29361,3,1
-1.7064,3,0
2.2936,3,0
2.2936,3,0
5.2936,3,0
4.2936,3,0
-1.7064,3,1
-3.7064,3,0
3.2936,3,1
4.2936,3,1
-1.7064,3,1
-2.7064,3,0
3.2936,3,1
4.2936,4,0
0.29361,4,0
2.2936,4,1
4.2936,4,1
2.2936,4,0
3.2936,4,0
0.29361,4,0
-1.7064,4,0
5.2936,4,0
-2.7064,4,0
-2.7064,4,0
0.29361,4,0
-1.7064,5,0
-3.7064,5,0
1.2936,5,0
5.2936,5,0
4.2936,5,1
-2.7064,5,1
-2.7064,5,1
0.29361,5,0
-1.7064,5,1
2.2936,5,0
4.2936,5,0
0.29361,5,0
-1.7064,6,1
-3.7064,6,0
1.2936,6,0
3.2936,6,0
1.2936,6,0
-2.7064,6,0
2.2936,6,1
1.2936,6,1
-0.70639,6,0
-3.7064,6,1
-1.7064,6,1
-1.7064,6,0
-0.70639,6,0
-3.7064,7,0
2.2936,7,1
-1.7064,7,0
-0.70639,7,0
-0.70639,7,0
-2.7064,7,1
3.2936,7,1
3.2936,7,0
1.2936,7,1
-4.7064,7,1
0.29361,7,0
-2.7064,7,1
-1.7064,7,0
4.2936,7,0
2.2936,7,0
2.2936,8,0
3.2936,8,0
2.2936,8,0
-0.70639,8,0
2.2936,8,1
5.2936,8,0
-0.70639,8,0
-0.70639,8,0
-0.70639,8,0
0.29361,8,0
4.2936,8,1
2.2936,8,1
-1.7064,8,1
0.29361,9,1
-0.70639,9,0
-2.7064,9,0
-0.70639,9,0
3.2936,9,0
3.2936,9,0
1.2936,9,0
1.2936,9,1
-3.7064,9,1
3.2936,9,0
-2.7064,9,1
-1.7064,10,0
3.2936,10,0
5.2936,10,0
5.2936,10,1
-2.7064,10,1
-3.7064,10,0
-1.7064,10,1
2.2936,10,1
-4.7064,10,1
2.2936,10,1
0.29361,10,0
-0.70639,10,1
1.2936,10,1
0.29361,11,1
-1.7064,11,0
0.29361,11,1
1.2936,11,0
-1.7064,11,1
2.2936,11,1
2.2936,11,1
-3.7064,11,1
3.2936,11,1
4.2936,11,0
-3.7064,11,0
4.2936,11,0
4.2936,11,0
4.2936,12,1
0.29361,12,1
-3.7064,12,0
2.2936,12,0
1.2936,12,1
1.2936,12,0
1.2936,12,0
2.2936,12,0
2.2936,12,0
-2.7064,12,1
-3.7064,12,1
-3.7064,12,1
3.2936,12,1
-3.7064,13,0
-3.7064,13,0
-3.7064,13,0
4.2936,13,0
5.2936,13,1
2.2936,13,1
2.2936,13,1
5.2936,13,0
0.29361,13,0
3.2936,13,0
2.2936,13,0
4.2936,13,0
-1.7064,13,0
2.2936,13,0
0.29361,14,0
-3.7064,14,0
-0.70639,14,0
0.29361,14,1
-0.70639,14,1
1.2936,14,1
1.2936,14,0
2.2936,14,1
-0.70639,14,1
-0.70639,14,1
-1.7064,14,0
-3.7064,14,0
3.2936,14,1
2.2936,15,0
-1.7064,15,1
-3.7064,15,0
-1.7064,15,1
-1.7064,15,1
-2.7064,15,0
-3.7064,15,0
1.2936,15,0
2.2936,15,1
0.29361,15,1
0.29361,15,1
-3.7064,15,0
4.2936,15,0
0.29361,15,0
1.2936,16,1
1.2936,16,0
-2.7064,16,0
2.2936,16,0
-1.7064,16,0
5.2936,16,0
0.29361,16,0
0.29361,16,0
3.2936,16,0
-0.70639,16,0
-1.7064,16,0
1.2936,16,0
5.2936,16,1
2.2936,17,0
0.29361,17,0
1.2936,17,1
1.2936,17,1
-4.7064,17,1
-2.7064,17,1
-3.7064,17,1
-3.7064,17,0
-2.7064,17,0
4.2936,17,1
-2.7064,17,1
0.29361,17,1
4.2936,17,1
-3.7064,18,0
0.29361,18,0
-2.7064,18,0
4.2936,18,0
2.2936,18,1
1.2936,18,1
0.29361,18,0
-0.70639,18,0
1.2936,18,0
-3.7064,18,0
-1.7064,18,1
3.2936,18,0
-3.7064,18,1
-2.7064,18,1
4.2936,19,0
5.2936,19,0
1.2936,19,1
-3.7064,19,0
-0.70639,19,0
1.2936,19,0
2.2936,19,1
0.29361,19,0
0.29361,19,1
1.2936,19,0
-0.70639,19,1
-0.70639,19,1
-3.7064,20,1
2.2936,20,1
-3.7064,20,1
-2.7064,20,0
-2.7064,20,1
4.2936,20,0
4.2936,20,0
4.2936,20,0
4.2936,20,1
0.29361,20,1
0.29361,20,1
0.29361,20,1
0.29361,20,0
5.2936,21,0
-2.7064,21,0
5.2936,21,1
1.2936,21,0
-3.7064,21,0
3.2936,21,1
1.2936,21,1
0.29361,21,1
5.2936,21,1
3.2936,21,0
0.29361,21,0
0.29361,21,0
4.2936,22,0
-1.7064,22,1
3.2936,22,0
-2.7064,22,0
-3.7064,22,0
-3.7064,22,0
4.2936,22,0
5.2936,22,0
-0.70639,22,1
-3.7064,22,0
1.2936,22,1
2.2936,22,1
-1.7064,22,0
4.2936,22,1
4.2936,23,0
3.2936,23,0
-2.7064,23,1
2.2936,23,0
1.2936,23,0
-2.7064,23,1
0.29361,23,0
-0.70639,23,0
-2.7064,23,0
3.2936,23,0
1.2936,23,1
-0.70639,23,1
-1.7064,23,1
0.29361,24,0
-3.7064,24,1
-3.7064,24,1
-3.7064,24,0
